Номер ВСП/ПВЗ|Дата открытия ВСП/ПВЗ|Адрес ВСП/ПВЗ|Режим работы ВСП/ПВЗ
8592/01|2020-09-28 03:14:26|г Белгород,улица Князя Трубецкого, дом 24|ПН-ПТ 09:00-17:30, СБ 09:00-13:30, ВС выходной
8592/010|2021-02-01 14:11:51|г Белгород,улица Некрасова, дом 5Б/8|ПН-ПТ 09:00-18:00, СБ 10:00-13:30, ВС выходной
8592/0100|2020-09-25 10:59:46|Белгородская область,город Алексеевка, пер 1-й Мостовой, дом 2|ПН-ПТ 08:00-17:00, СБ 08:00-13:30, ВС выходной
8592/012|2021-02-01 14:11:51|г Белгород,улица Железнякова, дом 18А|ПН-ПТ 09:00-18:00, СБ 09:00-13:00, ВС выходной
8592/0127|2021-02-24 17:08:57|Белгородская область,город Бирюч,улица Карла Маркса, дом 4|ПН-ПТ 08:00-16:30, СБ 08:30-13:30, ВС выходной
8592/014|2021-02-01 14:11:51|г Белгород, проспект Б.Хмельницкого, дом 160|ПН-ПТ 08:30-17:30, СБ 09:00-13:00, ВС выходной
8592/0141|2021-05-12 12:41:30|Белгородская область,город Алексеевка,улица Ст.Разина, дом 56|ПН-ПТ 09:00-18:00, СБ-ВС выходной
8592/016|2021-06-21 15:41:13|г Белгород,улица Апанасенко, дом 97|ПН-ПТ 09:30-18:30, СБ-ВС выходной
8592/017|2021-10-27 09:13:36|г Белгород,улица Буденного, дом 2А|ПН-ПТ 09:00-17:30, СБ 09:30-13:30, ВС выходной
8592/018|2021-12-13 14:19:30|г Белгород, бульвар Юности, дом 10|ПН-ПТ 08:30-18:00, СБ 09:00-13:30, ВС выходной
8592/020|2021-05-12 12:42:37|г Белгород,улица Костюкова, дом 63|ПН-ПТ 08:30-17:30, СБ-ВС выходной
8592/0200|2021-02-24 17:08:56|Белгородская область,город Валуйки,улица М.Горького, дом 31А|ПН-ПТ 08:15-16:45, СБ 09:00-14:00, ВС выходной
8592/0201|2021-06-21 15:41:13|Белгородская область,город Валуйки,улица 1 Мая, дом 30А|ПН-ПТ 08:00-17:00, СБ-ВС выходной
8592/0211|2021-09-21 12:27:15|Белгородская область, Валуйский район , пгт Уразово,улица Красная площадь, дом 4А|ПН-ПТ 08:30-17:30, СБ-ВС выходной
8592/0217|2021-02-24 17:08:37|Белгородская область, п Вейделевка,улица Центральная, дом 17А|ПН-ПТ 08:00-17:00, СБ-ВС выходной
8592/0227|2021-10-27 09:13:36|Белгородская область, п Ровеньки,улица Кирова, дом 22|ПН-ПТ 08:00-17:00, СБ-ВС выходной
8592/027|2021-09-21 12:27:15|Белгородская область, Белгородский район , пгт Северный,улица Олимпийская, дом 20А|ПН-ПТ 09:00-18:00, СБ 09:00-13:00, ВС выходной
8592/03|2021-02-01 14:11:51|г Белгород, проспект Белгородский, дом 54|ПН-ПТ 09:00-18:00, СБ 09:30-14:30, ВС выходной
8592/030|2020-11-03 09:55:58|Белгородская область, Белгородский район , пгт Разумное, проспект Ленина, дом 6А|ПН-ПТ 08:30-17:30, СБ 09:00-13:00, ВС выходной
8592/0300|2021-02-24 17:08:54|Белгородская область,город Губкин,улица Севастопольская, дом 2Б|ПН-ПТ 08:30-18:00, СБ 08:30-15:30, ВС выходной
8592/0315|2021-10-27 09:13:36|Белгородская область,город Губкин,улица Дзержинского, дом 80|ПН-ПТ 08:30-18:00, СБ 09:00-13:30, ВС выходной
8592/0317|2021-05-12 12:42:37|Белгородская область,город Губкин,улица Королева, дом 14А|ПН-ПТ 08:30-18:00, СБ 08:30-15:30, ВС выходной
8592/0319|2021-02-24 17:08:54|Белгородская область,город Губкин,улица Мира, дом 20|ПН-ПТ 09:00-18:00, СБ-ВС выходной
8592/032|2021-10-27 09:13:36|Белгородская область, Белгородский район , п Дубовое,улица Зеленая, дом 16|ПН-ПТ 09:00-17:30, СБ-ВС выходной
8592/0320|2020-11-03 09:55:58|Белгородская область, пгт Прохоровка,улица Красноармейская, дом 2|ПН-ПТ 08:00-17:00, СБ 08:00-13:30, ВС выходной
8592/035|2021-09-21 12:27:14|Белгородская область, Белгородский район , п Майский,улица Кирова, дом 14А|ПН-ПТ 09:00-17:30, СБ-ВС выходной
8592/04|2020-12-24 14:56:45|г Белгород,улица Победы, дом 124|ПН-ПТ 09:00-18:00, СБ 10:00-13:00, ВС выходной
8592/040|2021-10-27 09:13:36|Белгородская область, Белгородский район , пгт Октябрьский,площадь Островского, дом 2Б|ПН выходной, ВТ-СБ 08:30-17:00, ВС выходной
8592/0400|2021-02-24 17:08:46|Белгородская область,город Новый Оскол,площадь Центральная, дом 5|ПН-ПТ 08:30-17:00, СБ 08:30-12:30, ВС выходной
8592/0414|2021-02-24 17:08:36|Белгородская область, п Чернянка,улица Октябрьская, дом 1А|ПН-ПТ 08:30-17:30, СБ-ВС выходной
8592/0428|2021-10-27 09:13:36|Белгородская область, п Волоконовка,улица Ленина, дом 18|ПН-ПТ 08:00-17:00, СБ-ВС выходной
8592/047|2021-02-01 14:11:51|г Белгород, бульвар Народный, дом 89|ПН-ПТ 08:00-17:00, СБ 09:00-14:00, ВС выходной
8592/0503|2020-11-03 09:55:58|Белгородская область, Ракитянский район , п Пролетарский, пер Почтовый, дом 6|ПН выходной, ВТ-ПТ 08:00-17:30, СБ 08:00-15:30, ВС выходной
8592/0506|2021-09-21 12:27:14|Белгородская область, п Красная Яруга,улица Центральная, дом 21|ПН-ПТ 08:00-17:00, СБ-ВС выходной
8592/0513|2021-05-12 12:42:36|Белгородская область,город Грайворон,улица Ленина, дом 14А|ПН-ПТ 08:00-16:30, СБ-ВС выходной
8592/052|2021-02-01 14:11:51|г Белгород,улица Королева, дом 2Г|ПН-ПТ 09:00-18:00, СБ 09:30-14:30, ВС выходной
8592/0521|2020-11-03 09:55:58|Белгородская область, п Борисовка,улица Первомайская, дом 27|ПН-ПТ 08:00-16:30, СБ 08:00-12:00, ВС выходной
8592/0527|2020-11-03 09:55:58|Белгородская область, п Ракитное,улица Пролетарская, дом 2А|ПН-ПТ 08:00-16:30, СБ 08:30-13:30, ВС выходной
8592/0528|2020-11-03 09:55:58|Белгородская область,рабочий поселок Ивня,улица Ленина, дом 10|ПН-ПТ 08:00-17:00, СБ 08:30-12:30, ВС выходной
8592/053|2021-02-01 14:11:51|г Белгород,улица Губкина, дом 17А|ПН-ПТ 09:00-17:30, СБ 09:00-14:00, ВС выходной
8592/055|2021-12-13 14:19:30|Белгородская область, Белгородский район , мкр Пригородный (п Дубовое),улица Щорса, дом 64|ПН-ВС 10:00-20:00
8592/056|2021-02-24 17:08:42|Белгородская область,город Строитель,улица Ленина, дом 21|ПН-ПТ 09:00-18:00, СБ 09:00-13:30, ВС выходной
8592/057|2021-09-21 12:25:25|Белгородская область,город Строитель, пер Октябрьский, дом 1|ПН-ПТ 08:30-17:30, СБ-ВС выходной
8592/06|2020-09-28 03:14:26|г Белгород,улица Мичурина, дом 31|ПН-ПТ 09:00-18:00, СБ 09:30-13:00, ВС выходной
8592/0600|2021-02-24 17:08:42|Белгородская область,город Старый Оскол,улица Ленина, дом 49/44|ПН-ПТ 08:30-17:30, СБ 09:00-13:30, ВС выходной
8592/061|2021-02-24 17:08:36|Белгородская область, Яковлевский район , п Томаровка,улица Ватутина, дом 13|ПН-ПТ 08:30-17:30, СБ-ВС выходной
8592/0616|2021-02-24 17:08:42|Белгородская область,город Старый Оскол, мкр Горняк, дом 15|ПН-ПТ 08:30-18:00, СБ 09:00-13:30, ВС выходной
8592/0617|2021-02-24 17:08:42|Белгородская область,город Старый Оскол, мкр Лебединец, дом 3|ПН-ПТ 08:30-18:00, СБ 09:00-14:00, ВС выходной
8592/0620|2021-05-13 18:23:33|Белгородская область,город Старый Оскол, мкр Королева, дом 28А|ПН-ПТ 09:00-18:00, СБ 09:00-13:30, ВС выходной
8592/0621|2021-10-27 09:13:35|Белгородская область,город Старый Оскол, мкр Жукова, дом 39|ПН-ПТ 09:00-17:30, СБ 09:00-13:30, ВС выходной
8592/0622|2021-02-24 17:08:43|Белгородская область,город Старый Оскол, мкр Восточный, дом 2А|ПН-ПТ 09:00-18:00, СБ 09:00-13:30, ВС выходной
8592/0625|2021-02-24 17:08:42|Белгородская область,город Старый Оскол, мкр Ольминского, дом 17|ПН-ПТ 09:00-18:30, СБ 10:00-14:00, ВС выходной
8592/0628|2021-06-21 15:42:35|Белгородская область,город Старый Оскол, мкр Макаренко, дом 4Г|ПН-ПТ 08:30-18:00, СБ 09:30-14:00, ВС выходной
8592/0700|2021-02-24 17:08:38|Белгородская область,город Шебекино,улица Ленина, дом 71|ПН-ПТ 08:30-17:30, СБ 08:30-13:30, ВС выходной
8592/0721|2021-02-24 17:08:38|Белгородская область,город Шебекино,улица Ленина, дом 9|ПН-ПТ 08:30-17:30, СБ 08:30-12:30, ВС выходной
8592/0723|2021-02-24 17:08:50|Белгородская область,город Короча,улица Дорошенко, дом 9А|ПН-ПТ 08:00-16:15, СБ 08:00-12:15, ВС выходной
8592/08592|2021-02-01 14:11:51|г Белгород, проспект Гражданский, дом 52|ПН-ПТ 09:00-18:00, СБ 09:30-14:30, ВС выходной
8593/01|2021-02-01 14:11:48|г Липецк,улица Желябова, дом 17|ПН-СБ 09:00-21:00, ВС выходной
8593/0100|2021-06-21 15:41:13|Липецкая область,город Грязи,улица Советская, дом 67|ПН-ПТ 08:30-17:30, СБ-ВС выходной
8593/0104|2021-10-27 09:11:31|Липецкая область,город Грязи,улица Толстовская, дом 2 корпус а|ПН-ПТ 08:30-17:30, СБ-ВС выходной
8593/0105|2021-05-12 12:42:36|г Липецк,улица А.Г. Стаханова, дом 41|ПН-ПТ 08:30-19:00, СБ 09:00-14:00, ВС 09:00-13:30
8593/0107|2021-06-21 15:42:35|г Липецк,площадь Заводская, дом 8|ПН-ПТ 08:30-18:00, СБ 09:00-13:30, ВС выходной
8593/0108|2021-05-12 12:42:36|г Липецк, проспект Победы, дом 2|ПН-ПТ 08:30-18:30, СБ 09:00-13:30, ВС выходной
8593/0113|2021-09-21 12:27:14|г Липецк, проспект Имени 60-летия СССР, дом 2Б|ПН-ПТ 09:00-18:30, СБ 09:00-13:30, ВС выходной
8593/019|2020-09-28 03:14:25|г Липецк,площадь Мира, дом 2, кв 2А|ПН-ПТ 09:00-18:00, СБ 08:30-14:30, ВС выходной
8593/0200|2021-03-30 18:30:22|Липецкая область,город Данков,улица Карла Маркса, дом 35|ПН-ПТ 08:00-17:00, СБ-ВС выходной
8593/0204|2021-12-13 14:19:30|Липецкая область,город Данков,улица Ленина, дом 9|ПН-ПТ 08:30-17:30, СБ 09:00-12:30, ВС выходной
8593/0208|2021-03-30 18:30:21|Липецкая область, п Лев Толстой,улица М.Горького, дом 1|ПН-ПТ 08:30-17:00, СБ-ВС выходной
8593/0213|2021-03-22 12:52:18|Липецкая область,город Чаплыгин,улица Московская, дом 30|ПН-ПТ 08:00-17:00, СБ 08:00-13:00, ВС выходной
8593/022|2021-10-27 09:13:35|г Липецк,улица 6-й Гвардейской дивизии, дом 4|ПН-ПТ 08:30-18:00, СБ 09:00-14:00, ВС выходной
8593/028|2021-05-12 12:42:36|г Липецк,улица Ушинского, дом 9|ПН-ПТ 09:00-18:00, СБ 09:00-13:30, ВС выходной
8593/03|2021-10-27 09:13:35|г Липецк,улица Ангарская, дом 3|ПН-ПТ 08:30-18:30, СБ 08:30-14:00, ВС выходной
8593/0300|2021-03-30 18:30:22|Липецкая область,город Задонск,улица Советская, дом 15|ПН-ПТ 08:00-17:00, СБ-ВС выходной
8593/0308|2021-03-22 12:52:18|Липецкая область, с Хлевное,улица Ленинская, дом 8А|ПН-ПТ 08:00-16:00, СБ-ВС выходной
8593/0400|2021-03-22 12:52:18|Липецкая область,город Лебедянь,улица Почтовая, дом 23|ПН-ПТ 08:00-17:00, СБ 08:00-13:00, ВС выходной
8593/0407|2021-02-24 17:08:33|Липецкая область, с Красное,улица Первомайская, дом 13А|ПН-ПТ 08:00-16:15, СБ-ВС выходной
8593/0411|2021-08-17 12:37:27|Липецкая область, с Доброе,площадь Октябрьская, дом 12|ПН-ПТ 08:00-16:00, СБ 08:30-13:00, ВС выходной
8593/0424|2022-11-14 14:41:08|Липецкая область,город Лебедянь,улица Школьная, дом 3А|ПН выходной, ВТ-ПТ 08:30-17:50, СБ 08:30-14:00, ВС выходной
8593/043|2022-11-14 14:41:11|Липецкая область, Липецкий район , с Боринское,улица Кирова, дом 10|ПН выходной, ВТ-ПТ 08:30-16:45, СБ 08:30-14:30, ВС выходной
8593/044|2022-11-14 14:41:08|г Липецк,улица Писарева Д., дом 22|ПН выходной, ВТ-ПТ 09:00-18:00, СБ 09:00-15:45, ВС выходной
8593/047|2020-09-28 03:14:25|г Липецк,улица Гагарина, дом 161/1|ПН-ПТ 08:30-18:00, СБ 09:00-13:00, ВС выходной
8593/050|2020-12-24 14:56:44|г Липецк,улица Космонавтов, дом 110А|ПН-ПТ 08:30-18:30, СБ-ВС 09:00-14:00
8593/0500|2021-03-22 12:52:18|Липецкая область, с Тербуны,улица Октябрьская, дом 45|ПН-ПТ 08:30-16:30, СБ 08:30-11:00, ВС выходной
8593/0510|2021-09-21 12:27:14|Липецкая область, с Волово,улица Ленина, дом 1А|ПН-ПТ 08:00-16:15, СБ-ВС выходной
8593/0515|2021-10-27 09:13:35|Липецкая область, с Долгоруково,улица Советская, дом 1|ПН-ПТ 08:30-16:45, СБ-ВС выходной
8593/055|2021-08-17 12:37:27|г Липецк,улица Доватора, дом 1|ПН-ПТ 08:30-19:00, СБ 09:00-14:00, ВС выходной
8593/056|2022-11-14 14:41:11|г Липецк,улица Моршанская, дом 4|ПН-ПТ 09:00-18:00, СБ-ВС выходной
8593/060|2021-02-01 14:11:48|г Липецк,улица Космонавтов, дом 9|ПН-ПТ 08:30-18:30, СБ 08:30-14:30, ВС выходной
8593/0600|2021-03-22 12:52:18|Липецкая область,город Усмань,улица Комсомольская, дом 18|ПН-ПТ 08:00-17:00, СБ 08:00-13:00, ВС выходной
8593/062|2020-09-28 03:14:25|г Липецк, мкр 15-й, дом 8|ПН-ПТ 08:30-18:00, СБ 08:30-15:00, ВС выходной
8593/0627|2021-08-17 12:37:27|Липецкая область, п Добринка,улица Советская, дом 4|ПН-ПТ 08:00-16:15, СБ-ВС выходной
8593/064|2022-11-14 14:41:11|г Липецк,улица Опытная, дом 17|ПН-ПТ 09:00-18:00, СБ 09:00-16:00, ВС выходной
8593/067|2021-09-21 12:27:14|г Липецк,улица Московская, дом 103|ПН-ПТ 09:00-18:30, СБ 09:00-13:30, ВС выходной
8593/069|2021-06-21 15:42:35|г Липецк,улица А.Г. Стаханова, дом 25|ПН-ПТ 09:00-18:30, СБ 09:00-14:00, ВС выходной
8593/070|2021-02-01 14:11:48|г Липецк,улица Первомайская, дом 66|ПН-ПТ 08:30-17:30, СБ 09:00-13:00, ВС выходной
8593/0700|2021-06-07 13:59:22|Липецкая область,город Елец,улица Комсомольская, дом 81|ПН-ПТ 08:30-17:30, СБ 08:30-14:30, ВС выходной
8593/0702|2021-03-22 12:52:18|Липецкая область,город Елец,улица Орджоникидзе, дом 15В|ПН-ПТ 08:30-17:30, СБ 09:00-13:00, ВС выходной
8593/071|2021-10-27 09:13:35|г Липецк,улица Ленинградская, дом 1А|ПН-ПТ 08:30-18:00, СБ 09:00-15:00, ВС выходной
8593/0715|2021-09-21 12:27:14|Липецкая область,город Елец,улица Коммунаров, дом 66|ПН-ПТ 09:00-18:00, СБ-ВС выходной
8593/0716|2021-09-21 12:27:14|Липецкая область, с Становое,улица 50 лет Октября, дом 22|ПН-ПТ 08:30-16:45, СБ-ВС выходной
8593/0721|2021-08-17 12:37:27|Липецкая область, с Измалково,улица Ленина, дом 7|ПН-ПТ 08:00-16:15, СБ-ВС выходной
8593/0726|2021-03-22 12:52:18|Липецкая область,город Елец,улица Радиотехническая, дом 5|ПН-ПТ 09:00-18:00, СБ 09:00-14:00, ВС выходной
8593/073|2020-09-28 03:14:25|г Липецк, бульвар Шубина, дом 12|ПН-ВС 09:00-21:00
8593/08593|2020-12-24 14:56:44|г Липецк,улица Первомайская, дом 2|ПН-ПТ 09:00-18:00, СБ-ВС выходной
8593/087|2020-09-28 03:14:25|г Липецк,площадь Торговая, дом 2|ПН-ПТ 09:00-18:30, СБ 09:00-14:00, ВС выходной
8593/089|2021-10-27 09:13:35|г Липецк,улица Гагарина, дом 131А|ПН-ПТ 08:30-18:00, СБ 09:00-13:00, ВС выходной
8593/090|2021-02-01 14:11:48|г Липецк, проспект Мира, дом 29|ПН-ПТ 08:30-18:30, СБ 09:00-14:00, ВС выходной
8593/092|2020-09-28 03:14:25|г Липецк,улица Космонавтов, дом 5/6|ПН-СР 09:00-18:00, ЧТ 09:30-18:00, ПТ 09:00-18:00, СБ 09:00-13:00, ВС выходной
8593/093|2021-05-12 12:42:36|Липецкая область,город Грязи,улица Воровского, дом 20|ПН-ПТ 08:30-17:30, СБ 08:30-13:30, ВС выходной
8594/0100|2020-12-24 14:56:44|г Тамбов,улица Мичуринская, дом 88|ПН-ПТ 09:00-18:00, СБ 09:00-14:00, ВС выходной
8594/0101|2020-09-28 03:14:23|г Тамбов,улица Магистральная, дом 12А|ПН-ПТ 09:00-18:00, СБ 09:00-14:00, ВС выходной
8594/0109|2021-10-27 09:13:35|Тамбовская область,рабочий поселок Дмитриевка,улица Центральная, дом 3|ПН-ПТ 08:00-17:00, СБ-ВС выходной
8594/0119|2021-05-12 12:42:36|Тамбовская область,город Котовск,улица Свободы, дом 6|ПН-ПТ 08:30-17:00, СБ 08:30-14:00, ВС выходной
8594/014|2021-06-21 15:42:35|г Тамбов,улица Советская, дом 180|ПН-ПТ 09:00-18:00, СБ 09:00-14:30, ВС выходной
8594/0200|2021-02-24 17:08:53|Тамбовская область,город Жердевка,улица Первомайская, дом 130А|ПН-ПТ 08:15-17:15, СБ-ВС выходной
8594/0208|2021-06-21 15:42:34|Тамбовская область,рабочий поселок Токаревка,улица Ленина, дом 3|ПН-ПТ 08:00-17:00, СБ-ВС выходной
8594/024|2021-10-27 09:13:35|г Тамбов,улица Астраханская, дом 187А|ПН-ПТ 09:00-17:30, СБ 09:00-14:00, ВС выходной
8594/0300|2021-05-12 12:42:36|Тамбовская область,город Моршанск,улица Интернациональная, строение 85|ПН-ПТ 08:30-17:30, СБ-ВС выходной
8594/0302|2021-10-27 09:25:49|Тамбовская область,город Моршанск,улица Ленина, строение 21|ПН выходной, ВТ-ПТ 08:15-17:15, СБ 08:30-17:00, ВС выходной
8594/0330|2021-02-24 17:08:34|Тамбовская область,рабочий поселок Сосновка,улица Вокзальная, дом 12|ПН-ПТ 08:00-17:00, СБ-ВС выходной
8594/03926|2021-12-13 14:19:30|г Тамбов,улица Мичуринская, дом 128В|ПН-ПТ 09:00-18:00, СБ 09:00-14:00, ВС выходной
8594/04|2021-12-13 14:19:30|г Тамбов,улица Фридриха Энгельса, дом 21/29|ПН-ВТ 09:00-19:00, СР 09:00-18:00, ЧТ-ПТ 09:00-19:00, СБ 09:00-14:00, ВС выходной
8594/0400|2021-02-24 17:08:45|Тамбовская область,город Рассказово,улица Пушкина, дом 20|ПН-ПТ 08:30-17:30, СБ 08:30-14:00, ВС выходной
8594/0413|2021-05-12 12:42:36|Тамбовская область,город Кирсанов,улица 50 лет Победы, дом 29|ПН-ПТ 08:00-17:00, СБ-ВС выходной
8594/042|2021-05-12 12:42:36|г Тамбов,улица Чичерина, дом 44В|ПН-ПТ 09:00-19:00, СБ 09:00-15:00, ВС выходной
8594/0425|2021-10-27 09:13:35|Тамбовская область, с Гавриловка 2-я,улица Советская, дом 27|ПН-ПТ 08:15-16:30, СБ-ВС выходной
8594/0500|2021-05-12 12:42:36|Тамбовская область,город Уварово,улица Октябрьская, дом 60|ПН-СР 08:30-17:30, ЧТ 08:30-16:00, ПТ 08:30-17:30, СБ-ВС выходной
8594/0503|2021-09-21 12:27:14|Тамбовская область,город Уварово, мкр 1, дом 1А|ПН выходной, ВТ-ПТ 08:00-17:00, СБ 08:00-15:00, ВС выходной
8594/0505|2021-02-24 17:08:35|Тамбовская область,рабочий поселок Инжавино,улица Советская, дом 24|ПН-ПТ 08:00-17:00, СБ-ВС выходной
8594/0512|2021-10-27 09:13:35|Тамбовская область,рабочий поселок Мучкапский,улица Красная, строение 111|ПН-ПТ 08:00-17:00, СБ-ВС выходной
8594/0520|2021-10-27 09:13:35|Тамбовская область,рабочий поселок Ржакса,улица Первомайская, дом 4|ПН-ПТ 08:00-17:00, СБ-ВС выходной
8594/060|2021-05-12 12:42:36|Тамбовская область, Тамбовский район , п Строитель,улица Придорожная, строение 20|ПН-ПТ 08:30-17:30, СБ 08:30-13:00, ВС выходной
8594/0600|2021-06-21 15:42:34|Тамбовская область,город Мичуринск, ш Липецкое, дом 55|ПН-ПТ 08:30-17:30, СБ 08:30-13:30, ВС выходной
8594/0603|2022-11-14 14:41:09|Тамбовская область,город Мичуринск, мкр Кочетовка,улица 7 Ноября, дом 11А|ПН-ПТ 08:00-17:00, СБ-ВС выходной
8594/0604|2021-02-24 17:08:48|Тамбовская область,город Мичуринск,улица Украинская, дом 56|ПН-ПТ 08:30-16:45, СБ 08:30-13:15, ВС выходной
8594/0606|2021-02-24 17:08:48|Тамбовская область,город Мичуринск, ш Липецкое, дом 68|ПН-ПТ 08:30-16:45, СБ 09:00-13:45, ВС выходной
8594/0607|2021-09-21 12:27:14|Тамбовская область,город Мичуринск,улица Советская, дом 335|ПН-ПТ 08:30-17:30, СБ 08:30-13:30, ВС выходной
8594/0617|2021-02-24 17:08:33|Тамбовская область, с Петровское,улица Интернациональная, дом 24А|ПН-ПТ 08:30-16:00, СБ-ВС выходной
8594/0621|2021-06-21 15:42:34|Тамбовская область, с Староюрьево,улица Кооперативная, дом 6А|ПН-ПТ 08:00-16:15, СБ-ВС выходной
8594/0626|2021-02-24 17:08:34|Тамбовская область,рабочий поселок Первомайский,площадь Ленина, дом 6|ПН-ПТ 08:00-17:00, СБ-ВС выходной
8594/07|2021-10-27 09:13:35|г Тамбов,улица Полынковская, дом 65|ПН-ПТ 09:00-18:00, СБ-ВС выходной
8594/077|2020-09-28 03:14:23|г Тамбов,улица Советская, дом 119|ПН-ПТ 09:00-18:30, СБ 09:00-14:30, ВС выходной
8594/08|2020-12-24 14:56:44|г Тамбов,улица Сенько, дом 9|ПН-ПТ 09:00-18:00, СБ-ВС выходной
8594/08463|2021-06-21 15:42:34|г Тамбов,улица Носовская, дом 8|ПН-ПТ 08:30-18:00, СБ 08:30-14:30, ВС выходной
8594/08594|2021-06-21 15:42:34|г Тамбов,улица Карла Маркса, дом 130|ПН-ЧТ 09:00-18:00, ПТ 09:00-16:45, СБ-ВС выходной
8594/088|2021-08-17 12:37:27|г Тамбов,улица Рылеева, дом 62В|ПН-ПТ 09:00-18:00, СБ 09:00-13:00, ВС выходной
8594/093|2021-06-21 15:42:34|г Тамбов,улица Гастелло, дом 32В|ПН-ПТ 08:30-17:30, СБ 08:30-13:00, ВС выходной
8595/001|2021-02-01 14:11:43|г Орёл,улица Брестская, дом 12|ПН-ПТ 08:30-18:30, СБ 09:00-15:00, ВС выходной
8595/003|2020-09-28 19:18:00|г Орёл,площадь Поликарпова, дом 10Б|ПН-ПТ 09:00-18:00, СБ 09:00-13:00, ВС выходной
8595/005|2020-09-28 19:18:00|г Орёл,улица Московская, дом 155|ПН-ПТ 09:00-18:00, СБ 09:00-14:00, ВС выходной
8595/007|2020-09-28 19:18:00|г Орёл,улица Московская, дом 24|ПН-ПТ 09:00-18:00, СБ 09:00-13:30, ВС выходной
8595/009|2020-11-17 10:21:45|г Орёл,улица Комсомольская, дом 247|ПН-ПТ 09:00-18:00, СБ-ВС выходной
8595/010|2020-09-28 19:18:00|г Орёл,улица Октябрьская, дом 134|ПН-ПТ 09:00-18:00, СБ 09:00-13:30, ВС выходной
8595/0102|2020-09-28 19:18:00|г Орёл,площадь Щепная, дом 1|ПН-ПТ 09:00-18:00, СБ-ВС выходной
8595/0103|2020-09-28 19:18:00|г Орёл, ш Наугорское, дом 86|ПН-ПТ 09:30-18:30, СБ-ВС выходной
8595/0108|2021-06-21 15:42:34|г Орёл,улица Космонавтов, зд 3|ПН-ПТ 09:00-18:00, СБ 09:00-13:00, ВС выходной
8595/011|2021-05-12 12:42:36|г Орёл,улица Комсомольская, дом 356|ПН-ПТ 09:00-18:00, СБ 09:00-13:00, ВС выходной
8595/0110|2021-08-17 12:37:27|г Орёл,улица Октябрьская, дом 24|ПН-ПТ 09:00-18:00, СБ-ВС выходной
8595/014|2020-11-17 10:21:45|г Орёл,улица Комсомольская, дом 189|ПН-ПТ 09:00-18:00, СБ 09:00-13:00, ВС выходной
8595/018|2020-09-28 19:18:00|г Орёл,улица Комсомольская, дом 66|ПН-ПТ 08:30-19:00, СБ 09:00-14:30, ВС 10:00-12:30
8595/020|2021-02-01 14:11:43|г Орёл,улица Металлургов, дом 32|ПН-ПТ 08:30-19:00, СБ 09:00-15:00, ВС 09:30-13:30
8595/0200|2021-06-07 13:59:22|Орловская область,город Ливны,улица Свердлова, дом 39|ПН-ПТ 08:30-18:00, СБ 08:30-13:30, ВС выходной
8595/021|2020-09-28 19:18:00|г Орёл,улица Комсомольская, дом 229|ПН-ПТ 09:00-18:00, СБ 09:00-14:00, ВС выходной
8595/0217|2021-02-24 17:08:49|Орловская область,город Ливны,улица Победы, дом 5|ПН-ПТ 09:00-18:00, СБ 09:00-13:00, ВС выходной
8595/0221|2021-02-24 17:08:36|Орловская область, пгт Долгое,улица Октябрьская, дом 9|ПН-ПТ 08:00-17:00, СБ-ВС выходной
8595/0224|2021-10-27 09:13:34|Орловская область, пгт Колпна,улица Интернациональная, дом 2|ПН-ПТ 08:30-17:30, СБ-ВС выходной
8595/0225|2021-02-24 17:08:35|Орловская область, пгт Покровское,улица Ленина, дом 12|ПН-ПТ 08:00-17:00, СБ-ВС выходной
8595/0227|2021-02-24 17:08:36|Орловская область, пгт Верховье,улица 7 Ноября, дом 4|ПН-ПТ 08:00-17:00, СБ-ВС выходной
8595/0229|2021-02-24 17:08:35|Орловская область, пгт Хомутово,улица Набережная, дом 3|ПН-ПТ 08:00-16:30, СБ-ВС выходной
8595/023|2020-09-28 19:18:00|г Орёл,улица Матросова, дом 9|ПН-ПТ 09:00-18:00, СБ-ВС выходной
8595/0231|2021-10-27 09:13:34|Орловская область,город Ливны,улица Дзержинского, дом 104|ПН-ПТ 08:30-17:30, СБ 09:00-13:00, ВС выходной
8595/030|2021-05-12 12:42:36|Орловская область, Орловский район , пгт Знаменка,улица Советская, влд 24Ж|ПН-ПТ 09:00-18:00, СБ-ВС выходной
8595/0300|2021-05-12 12:42:36|Орловская область,город Мценск,улица Ленина, дом 22А|ПН-ПТ 09:00-18:00, СБ 09:00-13:30, ВС выходной
8595/0308|2021-10-27 09:13:34|Орловская область,город Мценск,улица Машиностроителей, дом 2|ПН-ПТ 09:00-18:00, СБ-ВС выходной
8595/0309|2021-02-24 17:08:57|Орловская область,город Болхов,улица Ленина, влд 37|ПН-ПТ 08:00-17:00, СБ-ВС выходной
8595/0314|2021-06-21 15:42:34|Орловская область, пгт Залегощь,улица М.Горького, дом 18А|ПН-ПТ 08:30-17:00, СБ-ВС выходной
8595/043|2021-02-24 17:08:35|Орловская область, пгт Нарышкино,улица Ленина, дом 89|ПН-ПТ 08:00-17:00, СБ-ВС выходной
8595/051|2020-09-28 19:18:00|г Орёл,улица Гостиная, дом 3|ПН-ПТ 09:00-18:00, СБ 09:00-13:00, ВС выходной
8595/061|2021-02-24 17:08:35|Орловская область, пгт Кромы,улица 25 Октября, влд 50|ПН-ПТ 08:00-17:00, СБ-ВС выходной
