Номер ВСП/ПВЗ|Дата открытия ВСП/ПВЗ|Адрес ВСП/ПВЗ|Режим работы ВСП/ПВЗ
8614/046|2021-03-30 18:30:20|Республика Марий Эл, пгт Сернур,улица Коммунистическая, дом 91|ПН-ПТ 08:00-17:00, СБ-ВС выходной
8614/05|2020-09-28 03:14:26|г Йошкар-Ола,улица Пушкина, дом 30|ПН-ПТ 09:00-18:00, СБ-ВС выходной
8614/050|2021-05-05 09:52:03|Республика Марий Эл, пгт Новый Торъял,улица Советская, дом 43Б|ПН-ПТ 07:30-16:30, СБ-ВС выходной
8614/054|2021-03-30 18:30:20|Республика Марий Эл, пгт Мари-Турек,улица Октябрьская, дом 21|ПН-ПТ 08:00-17:00, СБ-ВС выходной
8614/06|2020-09-28 03:14:26|г Йошкар-Ола,улица Воинов-интернационалистов, дом 21А|ПН-ПТ 09:00-18:00, СБ 09:00-14:00, ВС выходной
8614/061|2021-05-05 09:52:03|Республика Марий Эл, пгт Куженер,улица Карла Маркса, дом 7|ПН-ПТ 08:00-17:00, СБ-ВС выходной
8614/063|2021-05-05 09:52:03|Республика Марий Эл, пгт Параньга,улица Гагарина, дом 5А|ПН-ПТ 08:00-17:00, СБ-ВС выходной
8614/068|2020-09-28 03:14:26|г Йошкар-Ола,улица Карла Маркса, дом 109Б|ПН-ПТ 08:30-18:00, СБ 09:00-14:30, ВС выходной
8614/07|2021-05-05 09:52:03|г Йошкар-Ола, проспект Ленинский, дом 68|ПН-ПТ 09:00-18:00, СБ 09:00-14:00, ВС выходной
8614/08|2021-05-05 09:52:03|г Йошкар-Ола,улица Карла Либкнехта, дом 80А|ПН-ПТ 09:00-18:00, СБ-ВС выходной
8614/09|2021-06-21 15:42:19|г Йошкар-Ола,улица Героев Сталинградской битвы, дом 29|ПН-ПТ 08:30-18:00, СБ 08:30-14:00, ВС выходной
8618/0104|2020-09-28 03:14:26|г Ижевск,улицаимени Петрова, дом 8А|ПН-ПТ 09:00-19:00, СБ 09:00-13:30, ВС выходной
8618/0106|2020-09-28 03:14:26|г Ижевск,улица Ленина, дом 114|ПН-ПТ 09:30-18:30, СБ-ВС выходной
8618/0113|2020-09-28 03:14:26|г Ижевск,улица Подлесная 7-я, дом 71|ПН-ПТ 09:30-18:30, СБ-ВС выходной
8618/0116|2020-11-03 09:55:58|Республика Удмуртская, с Завьялово,улица Чкалова, дом 22|ПН-ПТ 08:30-16:45, СБ-ВС выходной
8618/0136|2020-09-28 03:14:26|г Ижевск,улица Ленина, дом 152|ПН-ПТ 09:00-21:00, СБ 09:00-18:00, ВС выходной
8618/0137|2020-09-28 03:14:26|г Ижевск,улица Клубная, дом 59|ПН-ПТ 09:00-18:30, СБ 09:30-13:30, ВС выходной
8618/0138|2020-09-28 03:14:26|г Ижевск,улица Пушкинская, дом 157|ПН-ПТ 09:00-21:00, СБ 09:00-18:00, ВС выходной
8618/0139|2020-09-28 03:14:26|г Ижевск,улица Пушкинская, дом 281|ПН-ПТ 09:00-18:30, СБ 09:30-13:30, ВС выходной
8618/0140|2020-09-28 03:14:26|г Ижевск,улица Труда, дом 50А|ПН-ПТ 09:00-19:00, СБ-ВС выходной
8618/0141|2021-02-24 17:08:33|Республика Удмуртская, с Малая Пурга,улица Пионерская, дом 43|ПН-ПТ 08:00-16:30, СБ-ВС выходной
8618/0151|2020-09-28 03:14:26|г Ижевск,улица Гагарина, дом 27Б|ПН-ПТ 09:30-18:30, СБ-ВС выходной
8618/0153|2021-06-21 15:42:19|г Ижевск,улицаимени Репина, дом 30|ПН-ПТ 09:30-18:30, СБ-ВС выходной
8618/0157|2021-06-21 15:42:19|Республика Удмуртская, с Якшур-Бодья,улица Пушиной, дом 109|ПН-ПТ 08:30-17:00, СБ-ВС выходной
8618/016|2021-05-12 12:42:05|г Ижевск,улица Клубная, дом 27|ПН-ПТ 09:00-18:00, СБ 09:30-13:30, ВС выходной
