Номер постамата|Дата ввода в эксплуатацию|Адрес постамата|Режим работы|Аренда
PS2449|2020-10-22 00:00:00|Рязанская область, Михайловский район ,рабочий поселок Октябрьский,улица Гончарова, дом 10|ПН выходной, ВТ-ЧТ 08:10-16:00, ПТ выходной, СБ 08:10-14:00, ВС выходной|НЕТ
PS2461|2020-10-22 00:00:00|Республика Башкортостан,город Октябрьский,улица Губкина, дом 27|ПН-ПТ 09:00-18:30, СБ 09:00-15:30, ВС выходной|НЕТ
PS2469|2020-10-22 00:00:00|Вологодская область,город Череповец, бульвар Доменщиков, дом 29|ПН-ПТ 09:00-18:30, СБ 09:00-15:30, ВС выходной|НЕТ
PS2473|2020-10-22 00:00:00|Ленинградская область, Всеволожский район ,город Всеволожск,улица Победы, дом 9|ПН выходной, ВТ-СБ 09:15-17:45, ВС выходной|НЕТ
PS2486|2020-10-22 00:00:00|Новосибирская область,город Обь,улица М.Горького, дом 3 корпус 1|ПН-ПТ 09:00-18:00, СБ-ВС выходной|НЕТ
PS2499|2020-10-22 00:00:00|Кемеровская область - Кузбасс, Новокузнецкий район , поселок Чистогорский,улица Садовая, дом 18А|ПН выходной, ВТ-ПТ 09:00-17:30, СБ 09:00-12:30, ВС выходной|НЕТ
PS2505|2020-10-22 00:00:00|Московская область,город Серпухов,улица Новая, дом 23|ПН выходной, ВТ-ПТ 09:00-17:30, СБ 09:00-17:00, ВС выходной|НЕТ
PS2506|2020-10-22 00:00:00|Московская область, Ленинский район ,город Видное,улица Советская, дом 34А|ПН-ПТ 00:00-23:59, СБ 00:00-23:59, ВС 00:00-23:59|НЕТ
PS2522|2020-10-22 00:00:00|Липецкая область, Елецкий район , поселок Газопровод,улица Мирная, дом 21|ПН-ВТ 08:30-15:35, СР выходной, ЧТ 08:30-15:35, ПТ-ВС выходной|НЕТ
PS2531|2020-10-22 00:00:00|Вологодская область, Сокольский район ,город Сокол,улица Советская, дом 75|ПН-ПТ 00:00-23:59, СБ 00:00-23:59, ВС 00:00-23:59|НЕТ
PS2580|2020-10-22 00:00:00|Ростовская область, Мясниковский район , село Чалтырь,улица Мясникяна, дом 97Б|ПН-ПТ 08:30-17:00, СБ-ВС выходной|НЕТ
PS2594|2020-10-22 00:00:00|Липецкая область, Грязинский район , село Плеханово,улица Плеханова, дом 56А|ПН-ВС - выходной|НЕТ
PS2613|2020-10-22 00:00:00|Республика Алтай,город Горно-Алтайск, Коммунистический проспект , дом 68|ПН-ПТ 00:00-23:59, СБ 00:00-23:59, ВС 00:00-23:59|НЕТ
PS2614|2020-10-22 00:00:00|Республика Алтай, Майминский район , село Майма,улица Ленина, дом 11|ПН-ПТ 09:00-16:30, СБ 09:00-14:30, ВС выходной|НЕТ
PS2616|2020-10-22 00:00:00|Алтайский край, Красногорский район , село Быстрянка, Мартовский пер, дом 6|ПН выходной, ВТ-ЧТ 09:00-17:00, ПТ 09:00-16:45, СБ-ВС выходной|НЕТ
PS2657|2020-10-22 00:00:00|Вологодская область,город Вологда,улица Карла Маркса, дом 4|ПН-ПТ 09:00-18:00, СБ-ВС выходной|НЕТ
PS2677|2020-10-22 00:00:00|Пермский край,город Соликамск,улица 20-летия Победы, дом 185|ПН-ПТ 00:00-23:59, СБ 00:00-23:59, ВС 00:00-23:59|НЕТ
PS2691|2020-10-22 00:00:00|Свердловская область,город Камышлов,улица Энгельса, дом 185|ПН-ПТ 00:00-23:59, СБ 00:00-23:59, ВС 00:00-23:59|НЕТ
PS2733|2020-10-22 00:00:00|Челябинская область,город Челябинск, Калининский район ,улица Чичерина, дом 33Б|ПН-ПТ 09:00-18:30, СБ 09:30-14:00, ВС выходной|НЕТ
PS2744|2020-10-22 00:00:00|Забайкальский край, Читинский район , пгт Атамановка,улица Связи, дом 44|ПН-ВС 07:00-23:00|НЕТ
PS472|2020-10-22 00:00:00|г Москва, район Марьина роща,улица Советской Армии, дом 17/52|ПН-ПТ 08:30-20:30, СБ 09:30-18:00, ВС выходной|НЕТ
PS1339|2020-10-23 00:00:00|Липецкая область,город Липецк, Левобережный округ,улица Писарева Д., дом 22|ПН выходной, ВТ-ПТ 09:00-18:00, СБ 09:00-15:45, ВС выходной|НЕТ
PS1453|2020-10-23 00:00:00|Кемеровская область - Кузбасс,город Новокузнецк, Новоильинский район , район Новоильинский, проспект Архитекторов, дом 14А|ПН-ПТ 09:00-18:30, СБ 09:00-15:00, ВС выходной|НЕТ
PS1774|2020-10-23 00:00:00|Свердловская область,город Екатеринбург, Орджоникидзевский район , проспект Космонавтов, дом 47Д|ПН-ПТ 00:00-23:59, СБ 00:00-23:59, ВС 00:00-23:59|НЕТ
PS2116|2020-10-23 00:00:00|Республика Мордовия, Кочкуровский район , село Кочкурово,улица Советская, дом 10А|ПН-ПТ 08:20-16:15, СБ-ВС выходной|НЕТ
PS2198|2020-10-23 00:00:00|Республика Бурятия,город Улан-Удэ, Октябрьский район ,улица Ключевская, дом 8А|ПН-ВС 06:00-23:00|НЕТ
PS2218|2020-10-23 00:00:00|Владимирская область, Петушинский район ,город Петушки,улица Московская, дом 6|ПН-ПТ 08:30-17:30, СБ-ВС выходной|НЕТ
PS2227|2020-10-23 00:00:00|Владимирская область, Александровский район ,город Карабаново,улица Лермонтова, дом 4|ПН-ПТ 09:00-17:30, СБ 09:00-13:00, ВС выходной|НЕТ
PS2383|2020-10-23 00:00:00|Новгородская область, Старорусский район ,город Старая Русса,улица Санкт-Петербургская, дом 13/63|ПН-ПТ 00:00-23:59, СБ 00:00-23:59, ВС 00:00-23:59|НЕТ
PS2391|2020-10-23 00:00:00|Краснодарский край, Гулькевичский район ,город Гулькевичи,улица Красная, дом 36|ПН-ПТ 00:00-23:59, СБ 00:00-23:59, ВС 00:00-23:59|НЕТ
PS2392|2020-10-23 00:00:00|Краснодарский край, Гулькевичский район , поселок Кубань,улица Школьная, дом 2|ПН выходной, ВТ-ПТ 08:00-17:15, СБ-ВС выходной|НЕТ
PS2467|2020-10-23 00:00:00|Вологодская область, Череповецкий район , деревня Ботово,улица Ленина, дом 15|ПН 09:00-17:00, ВТ выходной, СР 09:00-17:00, ЧТ выходной, ПТ 09:00-16:45, СБ-ВС выходной|НЕТ
PS2470|2020-10-23 00:00:00|Вологодская область, Междуреченский район , село Шуйское,улица Сухонская набережная, дом 19|ПН-ЧТ 08:30-16:30, ПТ 08:30-16:15, СБ-ВС выходной|НЕТ
PS2507|2020-10-23 00:00:00|Московская область,город Долгопрудный,улица Первомайская, дом 40|ПН-ПТ 00:00-23:59, СБ 00:00-23:59, ВС 00:00-23:59|НЕТ
PS2508|2020-10-23 00:00:00|г Москва, район Тропарево-Никулино, проспект Вернадского, дом 97 корпус 1|ПН-ПТ 00:00-23:59, СБ 00:00-23:59, ВС 00:00-23:59|НЕТ
PS2562|2020-10-23 00:00:00|Алтайский край,город Бийск,улица Мирная, дом 3|ПН выходной, ВТ-ПТ 09:00-17:00, СБ 09:30-13:00, ВС выходной|НЕТ
PS2598|2020-10-23 00:00:00|Липецкая область,город Липецк, Левобережный округ,площадь Мира, дом 2А|ПН-ПТ 00:00-23:59, СБ 00:00-23:59, ВС 00:00-23:59|НЕТ
PS2618|2020-10-23 00:00:00|Алтайский край, Зональный район , село Соколово,улица Советская, дом 90Б|ПН-ЧТ 09:00-17:00, ПТ 09:00-16:45, СБ-ВС выходной|НЕТ
PS2623|2020-10-23 00:00:00|Ростовская область, Октябрьский район , поселок Казачьи Лагери,улица Российская, дом 7|ПН выходной, ВТ-ПТ 08:00-16:30, СБ 08:00-12:45, ВС выходной|НЕТ
PS2625|2020-10-23 00:00:00|Ростовская область,город Новочеркасск,улица Ровная, дом 1|ПН-ПТ 00:00-23:59, СБ 00:00-23:59, ВС 00:00-23:59|НЕТ
PS2630|2020-10-23 00:00:00|Калининградская область, Гусевский район ,город Гусев,улица Победы, дом 1|ПН-ВС 06:00-23:59|НЕТ
PS2641|2020-10-23 00:00:00|Воронежская область,город Воронеж, Коминтерновский район ,улица Беговая, дом 217|ПН-ПТ 00:00-23:59, СБ 00:00-23:59, ВС 00:00-23:59|НЕТ
PS2650|2020-10-23 00:00:00|Республика Карелия,город Петрозаводск, район Перевалка,улица Чапаева, дом 44|ПН-ПТ 00:00-23:59, СБ 00:00-23:59, ВС 00:00-23:59|НЕТ
PS2659|2020-10-23 00:00:00|Ивановская область,город Иваново,площадь Меланжистов, дом 5|ПН-ПТ 09:00-18:00, СБ 09:00-13:00, ВС выходной|НЕТ
PS2668|2020-10-23 00:00:00|Республика Коми,город Сыктывкар, пгт Краснозатонский,улица Корабельная, дом 1|ПН-ПТ 09:30-17:30, СБ 09:30-13:30, ВС выходной|НЕТ
PS2671|2020-10-23 00:00:00|Республика Коми, Сыктывдинский район , село Зеленец, 2-й кв-л, дом 13|ПН-ПТ 09:00-18:30, СБ 09:00-14:00, ВС выходной|НЕТ
PS2685|2020-10-23 00:00:00|Пермский край,город Кизел,улица Советская, дом 16|ПН-ПТ 08:30-17:30, СБ 09:00-14:30, ВС выходной|НЕТ
PS2718|2020-10-23 00:00:00|Челябинская область, Чебаркульский район , поселок Тимирязевский,улица Чайковского, дом 9А|ПН выходной, ВТ-ПТ 09:00-17:00, СБ-ВС выходной|НЕТ
PS2748|2020-10-23 00:00:00|Кемеровская область - Кузбасс,город Березовский,улица 40 лет Победы, дом 4|ПН-ПТ 09:00-18:00, СБ 09:00-13:00, ВС выходной|НЕТ
PS2847|2020-10-23 00:00:00|обл. Ульяновская,город Ульяновск, улица Минаева,дом , 28.1|ПН-ПТ 09:00-18:00, СБ-ВС выходной|НЕТ
PS2848|2020-10-23 00:00:00|Ульяновская область,город Ульяновск, Засвияжский район ,улица Камышинская, дом 30|ПН-ПТ 00:00-23:59, СБ 00:00-23:59, ВС 00:00-23:59|НЕТ
PS2068|2020-10-24 00:00:00|Нижегородская область,город Арзамас, проспект Ленина, дом 166|ПН-ПТ 00:00-23:59, СБ 00:00-23:59, ВС 00:00-23:59|НЕТ
PS2229|2020-10-24 00:00:00|Владимирская область, Гусь-Хрустальный район ,город Курлово,улица Володарского, дом 7|ПН выходной, ВТ-ПТ 08:00-18:00, СБ 08:30-13:30, ВС выходной|НЕТ
PS2344|2020-10-24 00:00:00|Московская область,город Дубна, проспект Боголюбова, дом 15|ПН-ПТ 09:00-18:00, СБ-ВС выходной|НЕТ
PS2514|2020-10-24 00:00:00|г Москва, 1-й Новоподмосковный пер, дом 2/1|ПН-ПТ 08:30-20:00, СБ 09:00-17:00, ВС выходной|НЕТ
PS2523|2020-10-24 00:00:00|Липецкая область,город Липецк,улица Ангарская, дом 3|ПН-ПТ 08:30-18:30, СБ 08:30-14:00, ВС выходной|НЕТ
PS2632|2020-10-24 00:00:00|Калининградская область,город Калининград, Ленинградский район , Московский проспект , дом 244|ПН-ПТ 00:00-23:59, СБ 00:00-23:59, ВС 00:00-23:59|НЕТ
PS2788|2020-10-24 00:00:00|Белгородская область, Яковлевский район , поселок Томаровка,улица Ватутина, дом 13|ПН-ПТ 08:30-17:30, СБ-ВС выходной|НЕТ
PS2498|2020-10-25 00:00:00|Кемеровская область - Кузбасс, Прокопьевский район , село Терентьевское,улица Центральная, дом 30|ПН выходной, ВТ-СР 09:00-17:00, ЧТ выходной, ПТ 09:00-17:00, СБ 09:00-14:00, ВС выходной|НЕТ
PS2658|2020-10-25 00:00:00|Вологодская область,город Вологда, Пошехонское шоссе, дом 21|ПН-ПТ 00:00-23:59, СБ 00:00-23:59, ВС 00:00-23:59|НЕТ
PS2683|2020-10-25 00:00:00|край. Пермский,город Соликамск, улица Матросова,дом , 21, корпус, А|ПН-ПТ 00:00-23:59, СБ 00:00-23:59, ВС 00:00-23:59|НЕТ
PS2790|2020-10-25 00:00:00|Белгородская область,город Белгород,улица Щорса, дом 64|ПН-ВС 10:00-20:00|НЕТ
PS1754|2020-10-26 00:00:00|Свердловская область,город Екатеринбург,улица Малышева, д. 31В|ПН-ВС 09:00-21:00|НЕТ
PS1768|2020-10-26 00:00:00|Челябинская область,город Челябинск, Ленинский район ,улица Агалакова, дом 38|ПН-ПТ 00:00-23:59, СБ 00:00-23:59, ВС 00:00-23:59|НЕТ
PS1771|2020-10-26 00:00:00|Свердловская область,город Екатеринбург, Орджоникидзевский район ,улица Машиностроителей, дом 18|ПН-ПТ 00:00-23:59, СБ 00:00-23:59, ВС 00:00-23:59|НЕТ
PS1944|2020-10-26 00:00:00|Мурманская область,город Апатиты,улица Ферсмана, дом 32|ПН-ПТ 00:00-23:59, СБ 00:00-23:59, ВС 00:00-23:59|НЕТ
PS1945|2020-10-26 00:00:00|Мурманская область,город Апатиты,улица Жемчужная, дом 15|ПН-ПТ 09:30-17:30, СБ-ВС выходной|НЕТ
PS2048|2020-10-26 00:00:00|обл. Московская, район . Ногинский,город Старая Купавна, улица Большая Московская,дом , 64/2|ПН-ПТ 08:30-19:00, СБ 09:00-15:00, ВС выходной|НЕТ
PS2108|2020-10-26 00:00:00|Томская область,город Северск, Коммунистический проспект , дом 38|ПН-ВС 06:00-23:59|НЕТ
PS2203|2020-10-26 00:00:00|Кемеровская область - Кузбасс,город Калтан, поселок Малиновка,улица 60 лет Октября, дом 18|ПН-ЧТ 09:30-17:30, ПТ 09:30-17:15, СБ-ВС выходной|НЕТ
PS2269|2020-10-26 00:00:00|Белгородская область, Старооскольский район , село Федосеевка,улица Натальи Лихачевой, дом 15|ПН-ВТ 09:00-16:00, СР выходной, ЧТ-ПТ 09:00-16:00, СБ-ВС выходной|НЕТ
PS2317|2020-10-26 00:00:00|Республика Адыгея, Красногвардейский район , село Красногвардейское,улица 50 лет Октября, дом 20А|ПН-ЧТ 08:00-16:20, ПТ 08:00-15:40, СБ-ВС выходной|НЕТ
PS2322|2020-10-26 00:00:00|Краснодарский край,город Горячий Ключ, станица Саратовская,улица Ленина, дом 71|ПН выходной, ВТ-ЧТ 08:00-13:45, ПТ-ВС выходной|НЕТ
PS2332|2020-10-26 00:00:00|г Москва, район Северное Медведково,улица Сухонская, дом 9А|ПН-ПТ 00:00-23:59, СБ 00:00-23:59, ВС 00:00-23:59|НЕТ
PS2359|2020-10-26 00:00:00|Республика Бурятия,город Улан-Удэ, Железнодорожный район ,улица Туполева, дом 20А|ПН-ВС 06:00-23:00|НЕТ
PS2412|2020-10-26 00:00:00|АО. Ханты-Мансийский Автономный округ - Югра,город Сургут, улица Игоря Киртбая,дом , 20а|ПН-ПТ 10:00-19:00, СБ-ВС выходной|НЕТ
PS2416|2020-10-26 00:00:00|Ханты-Мансийский Автономный округ - Югра,город Сургут,улица Гагарина, дом 8|ПН-ПТ 00:00-23:59, СБ 00:00-23:59, ВС 00:00-23:59|НЕТ
PS2451|2020-10-26 00:00:00|Рязанская область,город Скопин,улица Высоковольтная, дом 11|ПН-ПТ 00:00-23:59, СБ 00:00-23:59, ВС 00:00-23:59|НЕТ
PS2462|2020-10-26 00:00:00|Республика Башкортостан,город Октябрьский, проспект Ленина, дом 57|ПН-ПТ 00:00-23:59, СБ 00:00-23:59, ВС 00:00-23:59|НЕТ
PS2496|2020-10-26 00:00:00|Новосибирская область,город Новосибирск,улица Учительская, дом 24|ПН-ПТ 00:00-23:59, СБ 00:00-23:59, ВС 00:00-23:59|НЕТ
PS2551|2020-10-26 00:00:00|Кемеровская область - Кузбасс, Гурьевский район ,город Салаир,улица Попова, дом 21|ПН-ПТ 09:00-17:30, СБ-ВС выходной|НЕТ
PS2553|2020-10-26 00:00:00|Республика Башкортостан, Туймазинский район ,город Туймазы, проспект Ленина, дом 21|ПН-ПТ 09:00-18:00, СБ 09:00-13:30, ВС выходной|НЕТ
PS2567|2020-10-26 00:00:00|Ростовская область, Багаевский район , хутор Елкин,улица Тимирязева, дом 18|ПН-ЧТ 08:00-15:45, ПТ 08:00-15:30, СБ-ВС выходной|НЕТ
PS2584|2020-10-26 00:00:00|Ростовская область, Кагальницкий район , село Новобатайск,улица Ленина, дом 37/2|ПН-ПТ 08:00-15:00, СБ-ВС выходной|НЕТ
PS2591|2020-10-26 00:00:00|Ленинградская область, Приозерский район ,город Приозерск,улица Красноармейская, дом 10|ПН-ВС 06:00-23:59|НЕТ
PS2629|2020-10-26 00:00:00|Калининградская область, Правдинский район ,город Правдинск,улица Багратиона, дом 7|ПН-ПТ 00:00-23:59, СБ 00:00-23:59, ВС 00:00-23:59|НЕТ
PS2634|2020-10-26 00:00:00|обл. Калининградская, район . Неманский,город Неман, улица Победы,дом , 32, строение, а|ПН-ПТ 00:00-23:59, СБ 00:00-23:59, ВС 00:00-23:59|НЕТ
PS2635|2020-10-26 00:00:00|Калининградская область, Багратионовский район ,город Багратионовск,улица Центральная, дом 31|ПН-ПТ 00:00-23:59, СБ 00:00-23:59, ВС 00:00-23:59|НЕТ
PS2684|2020-10-26 00:00:00|край. Пермский,город Соликамск, улица Северная,дом , 43, корпус, Б|ПН-ПТ 00:00-23:59, СБ 00:00-23:59, ВС 00:00-23:59|НЕТ
PS2705|2020-10-26 00:00:00|Свердловская область,город Екатеринбург, Октябрьский район ,улица Латвийская, дом 27|ПН-ПТ 09:00-19:00, СБ-ВС выходной|НЕТ
PS2751|2020-10-26 00:00:00|Иркутская область,город Шелехов, 8-й кв-л, дом 16|ПН-ПТ 00:00-23:59, СБ 00:00-23:59, ВС 00:00-23:59|НЕТ
PS2855|2020-10-26 00:00:00|Ульяновская область,город Новоульяновск,улица Комсомольская, дом 15А/10|ПН-ПТ 00:00-23:59, СБ 00:00-23:59, ВС 00:00-23:59|НЕТ
PS2856|2020-10-26 00:00:00|Ульяновская область, Сенгилеевский район ,рабочий поселок Красный Гуляй,улица Новостроительная, дом 1А|ПН-ПТ 08:00-16:30, СБ-ВС выходной|НЕТ
PS545|2020-10-26 00:00:00|Нижегородская область,город Бор,улица М.Горького, дом 112|ПН-ПТ 00:00-23:59, СБ 00:00-23:59, ВС 00:00-23:59|НЕТ
PS863|2020-10-26 00:00:00|г Москва,улица Лесная, дом 4 строение 1|ПН-ПТ 08:30-19:30, СБ 09:00-16:30, ВС выходной|НЕТ
PS1000|2020-10-27 00:00:00|край. Пермский,город Пермь, улица Александра Щербакова,дом , 47, корпус, А|ПН-ПТ 09:30-18:30, СБ-ВС выходной|НЕТ
PS1080|2020-10-27 00:00:00|г Москва, Новомосковский округ, км Киевское шоссе 22-й (п Московский), влд 4 строение 1|ПН-ПТ 10:00-19:00, СБ 10:00-17:30, ВС выходной|НЕТ
PS1949|2020-10-27 00:00:00|Московская область,город Одинцово, дп Лесной Городок,улица Фасадная, дом 3|ПН выходной, ВТ-ПТ 09:30-18:45, СБ 10:00-14:30, ВС выходной|НЕТ
PS2011|2020-10-27 00:00:00|обл. Орловская,город Орёл, улица Космонавтов,дом , 3|ПН-ПТ 00:00-23:59, СБ 00:00-23:59, ВС 00:00-23:59|НЕТ
PS2114|2020-10-27 00:00:00|Нижегородская область,город Кулебаки,улица Воровского, дом 49|ПН-ПТ 08:00-18:00, СБ 08:30-15:00, ВС выходной|НЕТ
PS2278|2020-10-27 00:00:00|Республика Бурятия,город Улан-Удэ, Железнодорожный район ,улица Октябрьская, дом 15|ПН-ВС 06:00-23:00|НЕТ
PS2433|2020-10-27 00:00:00|Республика Башкортостан,город Уфа, Демский район ,улица Ухтомского, дом 10|ПН-ПТ 00:00-23:59, СБ 00:00-23:59, ВС 00:00-23:59|НЕТ
PS2436|2020-10-27 00:00:00|Пензенская область, Пензенский район , село Богословка,улица Советская, дом 5|ПН выходной, ВТ-ПТ 09:00-17:00, СБ 08:30-13:00, ВС выходной|НЕТ
PS2465|2020-10-27 00:00:00|Республика Башкортостан,город Октябрьский,улица Шашина, дом 4|ПН-ПТ 09:00-18:30, СБ 09:30-14:30, ВС выходной|НЕТ
PS2472|2020-10-27 00:00:00|Вологодская область,город Череповец,улица Первомайская, дом 25|ПН-ПТ 09:00-19:00, СБ 09:00-16:30, ВС выходной|НЕТ
PS2476|2020-10-27 00:00:00|Новосибирская область,город Бердск,улица Кутузова, дом 2|ПН-ПТ 00:00-23:59, СБ 00:00-23:59, ВС 00:00-23:59|НЕТ
PS2478|2020-10-27 00:00:00|Новосибирская область, Новосибирский район , село Криводановка, тер Микрорайон, дом 1|ПН выходной, ВТ-ПТ 10:00-17:30, СБ 10:00-16:15, ВС выходной|НЕТ
PS2530|2020-10-27 00:00:00|Вологодская область, Череповецкий район , село Мякса,улица Советская, дом 38А|ПН-ЧТ 08:00-16:00, ПТ 08:15-16:00, СБ-ВС выходной|НЕТ
PS2574|2020-10-27 00:00:00|Ростовская область,город Ростов-на-Дону, проспект Шолохова, дом 128|ПН-ПТ 00:00-23:59, СБ 00:00-23:59, ВС 00:00-23:59|НЕТ
PS2587|2020-10-27 00:00:00|Ростовская область, Неклиновский район , село Покровское,улица Ленина, дом 275|ПН-ПТ 08:00-16:15, СБ-ВС выходной|НЕТ
PS2592|2020-10-27 00:00:00|Ленинградская область, Приозерский район , поселок Саперное,улица Школьная, дом 11|ПН выходной, ВТ-СР 09:30-17:00, ЧТ выходной, ПТ 09:30-17:00, СБ 09:30-15:30, ВС выходной|НЕТ
PS2593|2020-10-27 00:00:00|Ленинградская область, Приозерский район , гп Кузнечное,улица Юбилейная, дом 8А|ПН выходной, ВТ-ПТ 09:15-18:00, СБ 09:30-16:30, ВС выходной|НЕТ
PS2609|2020-10-27 00:00:00|Кемеровская область - Кузбасс,город Кемерово,улица Юрия Двужильного, дом 14|ПН-ПТ 09:00-18:30, СБ 09:00-13:30, ВС выходной|НЕТ
PS2621|2020-10-27 00:00:00|Ростовская область, Дубовский район , село Дубовское,улица Садовая, дом 99|ПН-ПТ 08:30-16:45, СБ-ВС выходной|НЕТ
PS2656|2020-10-27 00:00:00|Вологодская область,город Вологда,улица Щетинина, дом 21|ПН-ВС - выходной|НЕТ
PS2714|2020-10-27 00:00:00|Свердловская область, Богдановичский район ,город Богданович, 3-й кв-л, дом 7|ПН выходной, ВТ-ПТ 08:45-17:30, СБ 08:45-14:00, ВС выходной|НЕТ
PS2729|2020-10-27 00:00:00|Челябинская область, Сосновский район , поселок Есаульский,улица Трактористов, дом 1|ПН выходной, ВТ-ПТ 08:30-16:45, СБ 08:30-13:15, ВС выходной|НЕТ
PS2745|2020-10-27 00:00:00|Иркутская область,город Саянск, мкр Олимпийский, дом 27|ПН-ПТ 00:00-23:59, СБ 00:00-23:59, ВС 00:00-23:59|НЕТ
PS2772|2020-10-27 00:00:00|Калининградская область,город Мамоново,улица Советская, дом 10|ПН-ПТ 09:00-17:45, СБ-ВС выходной|НЕТ
PS2774|2020-10-27 00:00:00|Калининградская область, Черняховский район ,город Черняховск,улица Ленина, дом 16|ПН-ПТ 00:00-23:59, СБ 00:00-23:59, ВС 00:00-23:59|НЕТ
PS2776|2020-10-27 00:00:00|Калининградская область,город Калининград, Московский район ,улица Интернациональная, дом 59-67|ПН-ПТ 09:00-19:00, СБ 09:00-17:00, ВС выходной|НЕТ
PS530|2020-10-27 00:00:00|Нижегородская область,город Арзамас, проспект Ленина, дом 125|ПН-ПТ 00:00-23:59, СБ 00:00-23:59, ВС 00:00-23:59|НЕТ
PS2059|2020-10-28 00:00:00|Ставропольский край, Георгиевский район , станица Александрийская, Комсомольский пер, дом 9|ПН выходной, ВТ-СР 08:15-15:15, ЧТ выходной, ПТ 08:15-15:15, СБ 08:00-15:15, ВС выходной|НЕТ
PS2074|2020-10-28 00:00:00|Нижегородская область,город Саров,улица Духова, дом 1|ПН-ПТ 09:00-19:00, СБ-ВС выходной|НЕТ
PS2079|2020-10-28 00:00:00|Нижегородская область,город Саров,улица Курчатова, дом 3|ПН-ПТ 09:00-18:30, СБ 09:00-13:30, ВС выходной|НЕТ
PS2280|2020-10-28 00:00:00|Республика Бурятия,город Улан-Удэ, Советский район ,улица Ленина, дом 15А|ПН-ВС 06:00-23:00|НЕТ
PS2323|2020-10-28 00:00:00|Краснодарский край, Северский район , станица Новодмитриевская,улица Евтюхова, дом 2|ПН-СР выходной, ЧТ-ПТ 08:00-16:10, СБ 08:00-12:50, ВС выходной|НЕТ
PS2395|2020-10-28 00:00:00|Краснодарский край, Гулькевичский район ,город Гулькевичи, Западный мкр, дом 21|ПН выходной, ВТ-ПТ 08:00-17:00, СБ 08:00-13:30, ВС выходной|НЕТ
PS2483|2020-10-28 00:00:00|Новосибирская область, Искитимский район ,рабочий поселок Линево, Коммунистический проспект , дом 5|ПН-ПТ 08:30-17:30, СБ-ВС выходной|НЕТ
PS2494|2020-10-28 00:00:00|Новосибирская область,город Искитим,улица Советская, дом 201|ПН-ПТ 08:30-18:00, СБ 09:00-15:00, ВС выходной|НЕТ
PS2497|2020-10-28 00:00:00|Новосибирская область, Искитимский район , ст Евсино,улица Гагарина, дом 38А|ПН выходной, ВТ-ПТ 10:15-16:30, СБ 10:15-15:30, ВС выходной|НЕТ
PS2515|2020-10-28 00:00:00|Липецкая область, Усманский район , село Завальное,улица Ленина, дом 117|ПН 08:30-15:30, ВТ 08:30-11:43, СР выходной, ЧТ-ПТ 08:30-15:30, СБ-ВС выходной|НЕТ
PS2519|2020-10-28 00:00:00|Липецкая область, Усманский район ,город Усмань,улица Комсомольская, дом 18|ПН-ПТ 00:00-23:59, СБ 00:00-23:59, ВС 00:00-23:59|НЕТ
PS2573|2020-10-28 00:00:00|Ростовская область, Чертковский район , село Маньково-Калитвенское,улица Кирова, дом 15|ПН-ЧТ 08:10-15:30, ПТ 08:10-15:15, СБ-ВС выходной|НЕТ
PS2579|2020-10-28 00:00:00|Ростовская область, Чертковский район , поселок Чертково,улица Петровского, дом 89А|ПН-ПТ 00:00-23:59, СБ 00:00-23:59, ВС 00:00-23:59|НЕТ
PS2597|2020-10-28 00:00:00|Липецкая область, Лебедянский район , поселок свх. Агроном,улица Советская, дом 2А|ПН-ЧТ 08:30-16:30, ПТ 08:30-16:15, СБ-ВС выходной|НЕТ
PS2619|2020-10-28 00:00:00|Ростовская область, Белокалитвинский район , поселок Горняцкий,улица Садовая, дом 13|ПН-ЧТ 09:00-17:00, ПТ 09:00-16:45, СБ-ВС выходной|НЕТ
PS2678|2020-10-28 00:00:00|Пермский край,город Соликамск,улица Калийная, дом 130|ПН-ПТ 00:00-23:59, СБ 00:00-23:59, ВС 00:00-23:59|НЕТ
PS2689|2020-10-28 00:00:00|Свердловская область,город Нижняя Тура,улица 40 лет Октября, дом 6А|ПН-ПТ 00:00-23:59, СБ 00:00-23:59, ВС 00:00-23:59|НЕТ
PS2704|2020-10-28 00:00:00|Свердловская область,город Екатеринбург,улица Титова, дом 22|ПН-ПТ 00:00-23:59, СБ 00:00-23:59, ВС 00:00-23:59|НЕТ
PS2708|2020-10-28 00:00:00|Свердловская область,город Нижний Тагил,улица Щорса, дом 24|ПН выходной, ВТ-ПТ 09:00-17:45, СБ 09:30-17:00, ВС выходной|НЕТ
PS2710|2020-10-28 00:00:00|Свердловская область,город Кушва, пер Свердлова, дом 3|ПН-ПТ 00:00-23:59, СБ 00:00-23:59, ВС 00:00-23:59|НЕТ
PS2715|2020-10-28 00:00:00|Свердловская область,город Екатеринбург,улица Черняховского, дом 43|ПН-ПТ 09:30-19:30, СБ 10:00-14:30, ВС выходной|НЕТ
PS2724|2020-10-28 00:00:00|Челябинская область,город Златоуст,улица 40-летия Победы, дом 26|ПН-ПТ 00:00-23:59, СБ 00:00-23:59, ВС 00:00-23:59|НЕТ
PS2727|2020-10-28 00:00:00|Челябинская область,город Озерск, проспект Победы, дом 16|ПН-ПТ 09:00-18:00, СБ-ВС выходной|НЕТ
PS2731|2020-10-28 00:00:00|Челябинская область, Каслинский район ,город Касли,улица Революции, дом 2|ПН-ПТ 09:00-18:00, СБ-ВС выходной|НЕТ
