Номер постамата|Дата ввода в эксплуатацию|Адрес постамата|Режим работы|Аренда
PS141|2020-03-31 00:00:00|г. Красноярск, улица Сурикова, дом 12|ПН-ВС 06:00-23:59|НЕТ
PS143|2020-03-31 00:00:00|Красноярский край,город Красноярск, Центральный район ,улица Дмитрия Мартынова, дом 18|ПН-ВС 06:00-23:59|НЕТ
PS145|2020-03-31 00:00:00|Волгоградская область,город Волгоград, Советский район ,улицаимени Тулака, дом 40|ПН-ПТ 00:00-23:59, СБ 00:00-23:59, ВС 00:00-23:59|НЕТ
PS146|2020-03-31 00:00:00|Волгоградская область,город Волгоград, Советский район , тер Рабочий поселок Горьковский,улица Волгоградская, дом 13|ПН-ПТ 00:00-23:59, СБ 00:00-23:59, ВС 00:00-23:59|НЕТ
PS147|2020-03-31 00:00:00|Волгоградская область,город Волгоград,улицаименимаршала Еременко, дом 98|ПН-ПТ 00:00-23:59, СБ 00:00-23:59, ВС 00:00-23:59|НЕТ
PS149|2020-03-31 00:00:00|Самарская область,город Самара, Октябрьский район ,улица Ново-Садовая, дом 151|ПН-ПТ 00:00-23:59, СБ 00:00-23:59, ВС 00:00-23:59|НЕТ
PS15|2020-03-31 00:00:00|Новосибирская область,город Новосибирск, Дзержинский район ,улица Кошурникова, дом 8/1|ПН-ПТ 00:00-23:59, СБ 00:00-23:59, ВС 00:00-23:59|НЕТ
PS150|2020-03-31 00:00:00|Самарская область,город Самара, Советский район ,улица Гагарина, дом 161|ПН-ПТ 00:00-23:59, СБ 00:00-23:59, ВС 00:00-23:59|НЕТ
PS156|2020-03-31 00:00:00|г Москва, район Дорогомилово, Кутузовский проспект , дом 32|ПН 09:00 - 18:00; ВТ 09:00 - 18:00; СР 09:00 - 18:00; ЧТ 09:00 - 18:00; ПТ 09:00 - 16:45; СБ  - ; ВС  - |НЕТ
PS17|2020-03-31 00:00:00|Свердловская область,город Екатеринбург,улица Тверитина, дом 34|ПН-ПТ 00:00-23:59, СБ 00:00-23:59, ВС 00:00-23:59|НЕТ
PS19|2020-03-31 00:00:00|Ростовская область,город Ростов-на-Дону,улица Евдокимова, дом 37|ПН-ПТ 09:00-18:00, СБ-ВС выходной|НЕТ
PS2020|2020-03-31 00:00:00|г. Москва, бульвар Цветной, д. 2|ПН 09:00 - 20:00; ВТ 09:00 - 20:00; СР 09:00 - 20:00; ЧТ 09:00 - 20:00; ПТ 09:00 - 20:00; СБ 10:00 - 15:00; ВС  - |НЕТ
PS26|2020-03-31 00:00:00|Ивановская область,город Иваново,улица Лежневская, дом 157|ПН-ВС 00:00-23:59|НЕТ
PS27|2020-03-31 00:00:00|Тульская область,город Тула, Центральный район , Крестовоздвиженская пл, дом 1|ПН-ПТ 00:00-23:59, СБ 00:00-23:59, ВС 00:00-23:59|НЕТ
PS30|2020-03-31 00:00:00|г Москва, Алтуфьевское шоссе, дом 8|ПН-ПТ 00:00-23:59, СБ 00:00-23:59, ВС 00:00-23:59|НЕТ
PS31|2020-03-31 00:00:00|г Москва, район Южное Бутово, бульвар Адмирала Ушакова, дом 5|ПН-ПТ 00:00-23:59, СБ 00:00-23:59, ВС 00:00-23:59|НЕТ
PS32|2020-03-31 00:00:00|г Москва, Каширское шоссе, дом 26 корпус 2|ПН-ПТ 10:00-19:00, СБ 11:00-16:00, ВС выходной|НЕТ
