Номер ВСП/ПВЗ|Дата открытия ВСП/ПВЗ|Режим работы ВСП/ПВЗ|Точность|Широта|Долгота|Адрес
8592/047|2021-02-01 14:11:51|ПН-ПТ 08:00-17:00, СБ 09:00-14:00, ВС выходной|100.0|50.60071999700773|36.58365996395409|г Белгород, бульвар Народный, дом 89
8592/0503|2020-11-03 09:55:58|ПН выходной, ВТ-ПТ 08:00-17:30, СБ 08:00-15:30, ВС выходной|99.84|50.79087000842713|35.77231998358496|Белгородская область, Ракитянский район , п Пролетарский, пер Почтовый, дом 6
8592/0506|2021-09-21 12:27:14|ПН-ПТ 08:00-17:00, СБ-ВС выходной|98.54|50.8022400181751|35.65759000166207|Белгородская область, п Красная Яруга,улица Центральная, дом 21
8592/0513|2021-05-12 12:42:36|ПН-ПТ 08:00-16:30, СБ-ВС выходной|96.0|50.48842998709921|35.66179000570523|Белгородская область,город Грайворон,улица Ленина, дом 14А
8592/052|2021-02-01 14:11:51|ПН-ПТ 09:00-18:00, СБ 09:30-14:30, ВС выходной|100.0|50.5721900102553|36.575249981403|г Белгород,улица Королева, дом 2Г
8592/0521|2020-11-03 09:55:58|ПН-ПТ 08:00-16:30, СБ 08:00-12:00, ВС выходной|98.54|50.60682001086269|36.01531001553653|Белгородская область, п Борисовка,улица Первомайская, дом 27
8592/0527|2020-11-03 09:55:58|ПН-ПТ 08:00-16:30, СБ 08:30-13:30, ВС выходной|98.54|50.83388296416315|35.83365460008869|Белгородская область, п Ракитное,улица Пролетарская, дом 2А
8592/0528|2020-11-03 09:55:58|ПН-ПТ 08:00-17:00, СБ 08:30-12:30, ВС выходной|94.72|51.06018998709516|36.13850999443721|Белгородская область,рабочий поселок Ивня,улица Ленина, дом 10
8592/053|2021-02-01 14:11:51|ПН-ПТ 09:00-17:30, СБ 09:00-14:00, ВС выходной|100.0|50.56617000166614|36.57408003535778|г Белгород,улица Губкина, дом 17А
8592/055|2021-12-13 14:19:30|ПН-ВС 10:00-20:00|97.95|50.55197998441383|36.56795001428944|Белгородская область, Белгородский район , мкр Пригородный (п Дубовое),улица Щорса, дом 64
8592/056|2021-02-24 17:08:42|ПН-ПТ 09:00-18:00, СБ 09:00-13:30, ВС выходной|95.92|50.78286998476037|36.49597997613995|Белгородская область,город Строитель,улица Ленина, дом 21
8592/057|2021-09-21 12:25:25|ПН-ПТ 08:30-17:30, СБ-ВС выходной|96.08|50.78675000964978|36.47791999228201|Белгородская область,город Строитель, пер Октябрьский, дом 1
8592/06|2020-09-28 03:14:26|ПН-ПТ 09:00-18:00, СБ 09:30-13:00, ВС выходной|100.0|50.6125099820143|36.58889999454325|г Белгород,улица Мичурина, дом 31
8592/0600|2021-02-24 17:08:42|ПН-ПТ 08:30-17:30, СБ 09:00-13:30, ВС выходной|94.72|51.29865999394033|37.83336995999952|Белгородская область,город Старый Оскол,улица Ленина, дом 49/44
8592/061|2021-02-24 17:08:36|ПН-ПТ 08:30-17:30, СБ-ВС выходной|98.74|50.6860890746082|36.23350202269716|Белгородская область, Яковлевский район , п Томаровка,улица Ватутина, дом 13
8592/0616|2021-02-24 17:08:42|ПН-ПТ 08:30-18:00, СБ 09:00-13:30, ВС выходной|95.92|51.28567998823044|37.81067998046552|Белгородская область,город Старый Оскол, мкр Горняк, дом 15
8592/0617|2021-02-24 17:08:42|ПН-ПТ 08:30-18:00, СБ 09:00-14:00, ВС выходной|96.08|51.28556000128648|37.79993999646973|Белгородская область,город Старый Оскол, мкр Лебединец, дом 3
8592/0620|2021-05-13 18:23:33|ПН-ПТ 09:00-18:00, СБ 09:00-13:30, ВС выходной|96.15|51.31049000253458|37.89916999540253|Белгородская область,город Старый Оскол, мкр Королева, дом 28А
8592/0621|2021-10-27 09:13:35|ПН-ПТ 09:00-17:30, СБ 09:00-13:30, ВС выходной|95.92|51.31075000917107|37.88478002784996|Белгородская область,город Старый Оскол, мкр Жукова, дом 39
8592/0622|2021-02-24 17:08:43|ПН-ПТ 09:00-18:00, СБ 09:00-13:30, ВС выходной|96.15|51.31147001465385|37.90902996338394|Белгородская область,город Старый Оскол, мкр Восточный, дом 2А
8592/0625|2021-02-24 17:08:42|ПН-ПТ 09:00-18:30, СБ 10:00-14:00, ВС выходной|96.3|51.3094400015238|37.87373997172048|Белгородская область,город Старый Оскол, мкр Ольминского, дом 17
8592/0628|2021-06-21 15:42:35|ПН-ПТ 08:30-18:00, СБ 09:30-14:00, ВС выходной|96.15|51.31841002093554|37.88757002814094|Белгородская область,город Старый Оскол, мкр Макаренко, дом 4Г
8592/0700|2021-02-24 17:08:38|ПН-ПТ 08:30-17:30, СБ 08:30-13:30, ВС выходной|95.83|50.3963199958188|36.87549000460444|Белгородская область,город Шебекино,улица Ленина, дом 71
8592/0721|2021-02-24 17:08:38|ПН-ПТ 08:30-17:30, СБ 08:30-12:30, ВС выходной|95.74|50.41292999424641|36.88950999495086|Белгородская область,город Шебекино,улица Ленина, дом 9
