Номер ВСП/ПВЗ|Дата открытия ВСП/ПВЗ|Режим работы ВСП/ПВЗ|Точность|Широта|Долгота|Адрес
5940/0117|2021-05-12 12:42:34|ПН-ПТ 09:00-18:00, СБ 09:00-15:00, ВС выходной|95.3|60.92581001153485|76.59272002828902|Ханты-Мансийский Автономный округ - Югра АО,город Нижневартовск,улица 60 лет Октября, зд 53
5940/0118|2021-02-15 13:08:57|ПН-ПТ 09:00-19:30, СБ 09:00-18:00, ВС выходной|97.14|60.93815001702782|76.56429003764146|Ханты-Мансийский Автономный округ - Югра АО,город Нижневартовск,улица Омская, дом 11
5940/0121|2021-09-21 12:27:13|ПН-ПТ 09:30-18:00, СБ-ВС выходной|100.0|60.95394998833257|76.88605998497741|Ханты-Мансийский Автономный округ - Югра АО, Нижневартовский район , пгт Излучинск,улица Энергетиков, дом 1
5940/0123|2021-09-21 12:27:13|ПН-ПТ 09:00-18:00, СБ-ВС выходной|87.9|61.27239001508448|73.36089000728023|Ханты-Мансийский Автономный округ - Югра АО,город Радужный, мкр 4, строение 14
5940/0125|2021-05-12 12:42:34|ПН-ПТ 09:00-17:15, СБ-ВС выходной|96.71|61.2529799999916|75.18608001767942|Ханты-Мансийский Автономный округ - Югра АО,город Лангепас,улица Комсомольская, дом 6Б/1
5940/0126|2021-03-09 12:17:14|ПН выходной, ВТ-ПТ 09:00-18:00, СБ 10:00-14:00, ВС выходной|94.05|61.74656773040368|75.59961164631626|Ханты-Мансийский Автономный округ - Югра АО,город Покачи,улица Таежная, влд 20
5940/0128|2021-09-21 12:27:13|ПН-ПТ 08:30-19:00, СБ 09:00-15:30, ВС выходной|97.01|61.03082000325938|76.10173999150362|Ханты-Мансийский Автономный округ - Югра АО,город Мегион,улица Нефтяников, дом 33
5940/0129|2021-08-17 12:37:26|ПН-ПТ 09:30-17:45, СБ-ВС выходной|99.24|61.03638000000007|76.10933000000006|Ханты-Мансийский Автономный округ - Югра АО,город Мегион,улица Нефтяников, дом 4
5940/0131|2021-05-12 12:42:34|ПН выходной, ВТ-СБ 09:00-17:15, ВС выходной|96.55|62.13022001186863|77.45717998475635|Ханты-Мансийский Автономный округ - Югра АО,город Радужный, мкр 7, дом 12
5940/0133|2021-06-21 15:42:33|ПН-ПТ 09:30-18:30, СБ 09:30-16:30, ВС выходной|93.42|61.24918999674227|75.18418998233238|Ханты-Мансийский Автономный округ - Югра АО,город Лангепас,улица Ленина, дом 23А корпус 1
5940/0135|2021-08-17 12:37:26|ПН-ПТ 09:00-17:15, СБ-ВС выходной|97.14|60.93320000028854|76.5939100070828|Ханты-Мансийский Автономный округ - Югра АО,город Нижневартовск,улица Ленина, дом 46
5940/0136|2021-09-21 12:27:13|ПН-ПТ 09:00-17:30, СБ 09:00-15:30, ВС выходной|97.3|60.93704000159028|76.57573996883616|Ханты-Мансийский Автономный округ - Югра АО,город Нижневартовск,улица Нефтяников, дом 44
5940/0138|2021-02-15 13:08:57|ПН-ПТ 08:30-19:30, СБ 09:00-16:00, ВС выходной|97.53|60.94770999669456|76.59181997952601|Ханты-Мансийский Автономный округ - Югра АО,город Нижневартовск,улица Интернациональная, дом 10
5940/0139|2021-02-15 13:08:57|ПН-ПТ 08:30-19:30, СБ-ВС выходной|97.01|62.14939998562886|65.43138002298372|Ханты-Мансийский Автономный округ - Югра АО,город Нягань,улица Загородных, дом 26
5940/0140|2021-06-21 16:27:06|ПН-СР 09:00-18:00, ЧТ-ВС выходной|96.49|62.14429000026746|65.44281997971368|Ханты-Мансийский Автономный округ - Югра АО,город Нягань, мкр 2-й, дом 10
5940/0144|2021-02-24 17:08:35|ПН-ПТ 09:00-18:00, СБ-ВС выходной|99.52|62.54250001280684|65.64442998061162|Ханты-Мансийский Автономный округ - Югра АО, Октябрьский район , пгт Приобье,улица Крымская, дом 1, пом 1
5940/0146|2021-05-12 12:42:35|ПН-ПТ 09:30-18:00, СБ-ВС выходной|97.14|61.36021999705594|63.57277002351952|Ханты-Мансийский Автономный округ - Югра АО,город Советский,улица Советская, дом 12А
5940/0147|2021-08-17 12:37:26|ПН-ПТ 09:00-17:15, СБ-ВС выходной|97.1|61.37095998105173|63.56182996349494|Ханты-Мансийский Автономный округ - Югра АО,город Советский,улица Макаренко, дом 1А
5940/0148|2021-02-24 17:08:37|ПН-ПТ 09:00-17:15, СБ-ВС выходной|97.1|61.31457001497716|63.34077000773547|Ханты-Мансийский Автономный округ - Югра АО,город Югорск,улица Механизаторов, дом 4
5940/0149|2021-02-24 17:08:37|ПН-ПТ 09:30-18:00, СБ-ВС выходной|96.83|61.31339998511291|63.32633997468574|Ханты-Мансийский Автономный округ - Югра АО,город Югорск,улица Ленина, дом 12
5940/0150|2021-03-03 11:41:49|ПН-ПТ 09:00-17:15, СБ-ВС выходной|99.52|61.19740999359516|62.85182995854495|Ханты-Мансийский Автономный округ - Югра АО, Советский район , пгт Пионерский,улица Ленина, дом 8А, пом 1
5940/0159|2021-06-21 16:27:06|ПН-ПТ 09:30-18:00, СБ-ВС выходной|100.0|62.4567622486297|66.04112557821729|Ханты-Мансийский Автономный округ - Югра АО, пгт Октябрьское,улица Калинина, дом 41А
5940/016|2021-03-03 11:41:49|ПН выходной, ВТ-ПТ 09:00-18:00, СБ 09:00-13:00, ВС выходной|100.0|61.25992998073806|73.25162997155061|Ханты-Мансийский Автономный округ - Югра АО, Сургутский район , пгт Белый Яр,улица Горького, дом 1А
5940/0161|2021-03-03 11:41:53|ПН-ПТ 09:30-18:30, СБ 10:00-14:00, ВС выходной|94.1|62.14167390906151|65.42958107519625|Ханты-Мансийский Автономный округ - Югра АО,город Нягань, мкр 4-й, дом 5А, пом 1
5940/0166|2021-05-12 12:42:35|ПН-ПТ 09:00-18:30, СБ-ВС выходной|100.0|60.96871001691031|69.05069000509135|г Ханты-Мансийск,улица Конева, дом 28
5940/0169|2021-08-17 12:37:26|ПН-ПТ 08:30-18:30, СБ-ВС выходной|100.0|61.00717000244518|69.03933001171765|г Ханты-Мансийск,улица Мира, дом 66
5940/0170|2021-06-21 16:27:06|ПН-ПТ 09:45-18:00, СБ-ВС выходной|100.0|61.00393001968223|69.01444003405723|г Ханты-Мансийск,улица Энгельса, дом 3
5940/0171|2020-09-28 03:14:22|ПН-ПТ 09:00-18:30, СБ 08:30-14:00, ВС выходной|100.0|61.00541001232594|69.01505995961608|г Ханты-Мансийск,улица Комсомольская, дом 31
5940/0172|2021-06-21 16:27:06|ПН-ПТ 09:00-18:00, СБ-ВС выходной|96.61|63.71791001116759|66.66536003661591|Ханты-Мансийский Автономный округ - Югра АО,город Белоярский, мкр 3, дом 1
5940/0180|2021-02-24 17:08:36|ПН-ПТ 09:00-18:00, СБ-ВС выходной|100.0|63.93485001005925|65.05532996033102|Ханты-Мансийский Автономный округ - Югра АО, пгт Березово,улица Ленина, дом 12
5940/0184|2021-05-12 12:42:35|ПН-ПТ 08:30-17:00, СБ-ВС выходной|98.9|63.19627098322037|64.42218705532231|Ханты-Мансийский Автономный округ - Югра АО, Березовский район , пгт Игрим,улица Кооперативная, дом 50Б
5940/0188|2021-08-17 12:37:26|ПН-ПТ 09:00-18:00, СБ-ВС выходной|100.0|61.00674001081228|69.0205999785199|г Ханты-Мансийск,улица Дзержинского, дом 16
5940/0190|2021-03-03 11:41:50|ПН-ПТ 09:00-18:30, СБ 09:00-15:30, ВС выходной|96.72|60.12999000499491|64.80558998175226|Ханты-Мансийский Автономный округ - Югра АО,город Урай,улица Ленина, дом 90
5940/0191|2021-02-24 17:08:41|ПН-ПТ 08:45-17:45, СБ-ВС выходной|96.43|60.12987999251573|64.80433001406692|Ханты-Мансийский Автономный округ - Югра АО,город Урай, мкр 2-й, дом 89А
5940/0194|2021-02-15 13:08:55|ПН-ПТ 09:00-18:00, СБ-ВС выходной|100.0|59.59939998555902|65.89690002887366|Ханты-Мансийский Автономный округ - Югра АО, пгт Междуреченский,улица Волгоградская, дом 12
5940/028|2021-08-17 12:37:26|ПН-ПТ 09:30-17:45, СБ-ВС выходной|97.06|61.26094000007069|73.36424997698714|Ханты-Мансийский Автономный округ - Югра АО,город Сургут,улица Энтузиастов, дом 40
5940/036|2021-09-21 12:27:13|ПН-ПТ 09:00-18:00, СБ-ВС выходной|100.0|61.60420999005632|73.72780002361526|Ханты-Мансийский Автономный округ - Югра АО, Сургутский район , пгт Федоровский,улица Ломоносова, дом 2
5940/041|2021-05-12 12:42:34|ПН-ПТ 09:00-19:00, СБ 09:30-17:00, ВС выходной|96.92|61.23666998987864|73.4487099728774|Ханты-Мансийский Автономный округ - Югра АО,город Сургут, проезд Мунарева, дом 4
5940/052|2021-02-01 14:11:41|ПН-ПТ 08:45-19:15, СБ 09:30-17:00, ВС выходной|96.88|61.28652001791005|73.34375002111483|Ханты-Мансийский Автономный округ - Югра АО,город Сургут,улица Крылова, дом 47
5940/053|2021-08-17 12:37:26|ПН-ПТ 09:00-18:00, СБ-ВС выходной|96.83|61.26251001435449|73.37868998450165|Ханты-Мансийский Автономный округ - Югра АО,город Сургут, проспект Мира, дом 1
5940/057|2020-12-24 14:56:44|ПН-ПТ 09:00-18:30, СБ 09:00-15:30, ВС выходной|96.97|61.25312999414891|73.39403004077917|Ханты-Мансийский Автономный округ - Югра АО,город Сургут, проспект Ленина, дом 35
5940/060|2021-08-17 12:37:26|ПН-ПТ 09:30-17:45, СБ-ВС выходной|96.88|61.25652001297871|73.4298500201804|Ханты-Мансийский Автономный округ - Югра АО,город Сургут, проспект Мира, дом 55
5940/062|2020-11-17 10:21:45|ПН-ПТ 09:30-18:00, СБ-ВС выходной|96.88|61.23430998122055|73.40231002001198|Ханты-Мансийский Автономный округ - Югра АО,город Сургут,улица Гагарина, дом 8
5940/066|2021-08-17 12:37:26|ПН выходной, ВТ-ПТ 09:30-17:45, СБ 09:30-17:15, ВС выходной|93.18|61.61592499893901|72.17278502982705|Ханты-Мансийский Автономный округ - Югра АО, Сургутский район ,город Лянтор, мкр 6-й, строение 13
5940/071|2021-08-17 12:37:25|ПН-ПТ 09:00-19:00, СБ 09:00-15:30, ВС выходной|97.06|62.26359000534919|74.48011003177618|Ханты-Мансийский Автономный округ - Югра АО,город Когалым,улица Молодежная, дом 18
5940/073|2021-05-12 12:42:34|ПН-ПТ 09:30-18:00, СБ-ВС выходной|97.18|62.26410000224789|74.49528999370304|Ханты-Мансийский Автономный округ - Югра АО,город Когалым,улица Дружбы Народов, дом 27
5940/078|2021-02-01 14:11:41|ПН-ПТ 09:30-18:15, СБ-ВС выходной|97.18|61.24580001982198|73.41095997645098|Ханты-Мансийский Автономный округ - Югра АО,город Сургут,улица Университетская, дом 5
5940/080|2022-01-17 03:31:36|ПН-ПТ 08:45-19:15, СБ 09:00-15:00, ВС выходной|92.82|61.62770560015744|72.15491630857683|Ханты-Мансийский Автономный округ - Югра АО, Сургутский район ,город Лянтор, мкр 1-й, строение 35/1
5940/081|2021-05-12 12:42:34|ПН-ПТ 10:00-19:30, СБ 10:00-17:30, ВС 10:00-16:00|97.06|61.25389999768413|73.43277002378963|Ханты-Мансийский Автономный округ - Югра АО,город Сургут,улица 30 лет Победы, дом 46
5940/082|2021-08-17 12:37:25|ПН-ПТ 09:00-18:00, СБ-ВС выходной|96.92|61.24902998621064|73.40076003847679|Ханты-Мансийский Автономный округ - Югра АО,город Сургут, бульвар Свободы, дом 2
5940/083|2021-02-01 14:11:41|ПН-ПТ 10:00-19:00, СБ-ВС выходной|97.1|61.27118000354207|73.3516600231415|Ханты-Мансийский Автономный округ - Югра АО,город Сургут,улица Игоря Киртбая, дом 20
5940/086|2021-09-21 12:27:13|ПН-ПТ 08:30-18:30, СБ 08:30-16:00, ВС выходной|96.97|61.25524998700956|73.38987001841417|Ханты-Мансийский Автономный округ - Югра АО,город Сургут, проспект Ленина, дом 46
5940/087|2021-08-17 12:37:25|ПН-ПТ 09:00-17:30, СБ-ВС выходной|97.33|61.25412999710727|73.44708002798589|Ханты-Мансийский Автономный округ - Югра АО,город Сургут,улица Иосифа Каролинского, дом 13
5940/091|2021-03-30 18:30:20|ПН-ПТ 09:30-18:30, СБ-ВС выходной|100.0|60.99417839757501|71.89659356386618|Ханты-Мансийский Автономный округ - Югра АО, Нефтеюганский район , пгт Пойковский, мкр 4-й, дом 16
5940/099|2021-02-15 13:08:56|ПН-ПТ 09:00-18:30, СБ 09:00-14:00, ВС выходной|89.49|62.2399394660573|74.53171709995587|Ханты-Мансийский Автономный округ - Югра АО,город Пыть-Ях, мкр 2 Нефтяников, дом 31А
7003/0118|2021-06-21 15:41:13|ПН-ПТ 10:00-19:00, СБ-ВС выходной|93.49|56.88340426391723|60.51112182692421|г Екатеринбург,улица Билимбаевская, дом 31 корпус 1
7003/016|2021-08-31 16:46:20|ПН-ПТ 09:00-20:00, СБ 10:00-16:30, ВС выходной|100.0|56.81372999530925|60.60859998716441|г Екатеринбург,улица 8 Марта, дом 99
7003/0175|2021-08-31 16:46:20|ПН-ПТ 10:00-19:00, СБ-ВС выходной|100.0|56.83225001992298|60.59000004110393|г Екатеринбург,улица Сакко и Ванцетти, дом 61
7003/0195|2021-08-31 16:46:20|ПН-ПТ 09:00-19:00, СБ-ВС выходной|100.0|56.78981001339378|60.77314001544059|г Екатеринбург,улица Латвийская, дом 27
7003/0211|2021-08-31 16:47:46|ПН-ПТ 09:00-18:30, СБ-ВС выходной|100.0|56.75761998480075|60.70605000513888|г Екатеринбург,улица Инженерная, дом 45
7003/0226|2021-06-07 13:59:21|ПН-СР 09:30-19:00, ЧТ выходной, ПТ 09:30-19:00, СБ 09:00-16:00, ВС выходной|100.0|56.89798999898974|60.6287899802573|г Екатеринбург,улица Красных командиров, дом 29
7003/0227|2021-05-12 12:42:34|ПН-ПТ 09:30-20:00, СБ 10:00-17:00, ВС выходной|100.0|56.84112000132032|60.65605002485964|г Екатеринбург,улица Софьи Ковалевской, дом 1
7003/0248|2021-06-21 15:42:33|ПН-ПТ 09:00-19:30, СБ 09:00-16:30, ВС 09:00-17:00|100.0|56.89881000057738|60.60104001341435|г Екатеринбург,улица Победы, дом 34
7003/0288|2020-09-03 16:13:45|ПН-ПТ 09:30-18:30, СБ-ВС выходной|100.0|56.88459999248599|60.57234004166551|г Екатеринбург,улица Машиностроителей, дом 18
7003/0292|2021-05-12 12:42:34|ПН-ПТ 09:00-19:00, СБ 09:30-15:00, ВС выходной|100.0|56.75907998660537|60.81886002832039|г Екатеринбург,улица Бахчиванджи, дом 14
7003/0294|2021-08-31 16:46:20|ПН-ПТ 09:30-18:30, СБ-ВС выходной|100.0|56.84141998963497|60.62809000752313|г Екатеринбург, проспект Ленина, дом 79А
7003/0306|2020-09-03 16:13:45|ПН-ПТ 09:00-18:00, СБ-ВС выходной|100.0|56.89270001225765|60.59832997647968|г Екатеринбург,улица Калинина, дом 31
7003/0320|2021-08-17 12:35:32|ПН-ПТ 09:30-18:30, СБ-ВС выходной|100.0|56.85659001900655|60.65001002543141|г Екатеринбург,улица Блюхера, дом 59
7003/0335|2020-09-03 16:13:45|ПН-ПТ 10:00-19:30, СБ 10:00-16:00, ВС выходной|100.0|56.80424000453402|60.61250000289292|г Екатеринбург,улица 8 Марта, дом 171
7003/0368|2021-08-31 16:46:20|ПН-ПТ 09:00-18:00, СБ-ВС выходной|100.0|56.75659001653855|60.60406998759325|г Екатеринбург,улица Окружная, дом 8
7003/0369|2021-08-31 16:46:20|ПН-ПТ 09:30-20:00, СБ 10:00-17:00, ВС выходной|100.0|56.79222999456908|60.6240400395468|г Екатеринбург,улица Родонитовая, дом 18Б
7003/0371|2021-06-21 15:41:13|ПН-ПТ 09:00-18:00, СБ-ВС выходной|94.04|56.90078819119846|60.61982595299152|г Екатеринбург,улица Старых Большевиков, дом 82 корпус 1
7003/0377|2021-08-17 12:35:32|ПН-ПТ 09:30-18:30, СБ-ВС выходной|100.0|56.83028999568441|60.64286998503044|г Екатеринбург,улица Куйбышева, дом 145
7003/0378|2021-08-31 16:46:20|ПН-ПТ 10:00-19:30, СБ 11:00-17:30, ВС выходной|93.78|56.80803718856914|60.55171730733357|г Екатеринбург,улица Академика Бардина, дом 7 корпус 1
7003/0379|2021-06-21 15:41:13|ПН-ПТ 10:00-19:00, СБ-ВС выходной|100.0|56.80681999624093|60.59714997215065|г Екатеринбург,улица Щорса, дом 109
7003/0381|2020-09-03 16:13:45|ПН-ПТ 09:30-18:30, СБ-ВС выходной|85.11|56.84125000463857|60.67733997510624|г Екатеринбург,улица Владимира Высоцкого, дом 12Б
7003/0383|2021-05-12 12:42:34|ПН-ПТ 09:30-19:00, СБ 09:30-17:30, ВС выходной|91.22|56.79590001087445|60.58079000589476|г Екатеринбург,улица Амундсена, дом 65 строение б
7003/0391|2021-06-21 15:41:13|ПН-ПТ 09:30-18:30, СБ-ВС выходной|86.67|56.7987100020045|60.58033000704847|г Екатеринбург,улица Амундсена, дом 58 корпус 1 строение а
7003/0392|2021-05-12 12:41:30|ПН-ПТ 09:00-19:30, СБ-ВС выходной|100.0|56.8589799929685|60.64059999801248|г Екатеринбург,улица Июльская, дом 21
7003/0393|2021-08-31 16:47:46|ПН-ПТ 09:00-19:00, СБ 09:00-16:00, ВС 09:00-17:00|100.0|56.87138998735296|60.55069000485852|г Екатеринбург,улица Бебеля, дом 166
7003/04|2021-06-07 13:59:21|ПН-ПТ 09:00-19:30, СБ 09:00-18:00, ВС выходной|100.0|56.84180999958971|60.64646003797952|г Екатеринбург,улица Гагарина, дом 35Б
7003/0406|2020-09-03 16:13:45|ПН-ПТ 09:00-18:00, СБ-ВС выходной|100.0|56.89557001781444|60.59001999003348|г Екатеринбург, проспект Орджоникидзе, дом 20
7003/0408|2020-09-03 16:13:45|ПН-ПТ 09:00-19:00, СБ 10:00-15:00, ВС выходной|100.0|56.89641001024117|60.63934003032713|г Екатеринбург,улица Баумана, дом 49
7003/0409|2021-08-31 16:47:46|ПН-ПТ 09:30-20:30, СБ 09:00-17:00, ВС 12:00-17:00|100.0|56.79232999067398|60.52117003152202|г Екатеринбург,улица Вильгельма де Геннина, дом 31
7003/0412|2021-05-12 12:42:34|ПН-СР 09:30-19:00, ЧТ выходной, ПТ 09:30-19:00, СБ 09:30-14:30, ВС выходной|100.0|56.7589700160357|60.28966999626238|г Екатеринбург,улица Боровая, дом 19
7003/0413|2021-08-17 12:35:31|ПН-ВС 09:00-20:00|90.53|56.82016000469224|60.60619002236342|г Екатеринбург,улица 8 Марта, дом 61 строение б
7003/0417|2021-08-31 16:47:46|ПН-ПТ 09:00-20:00, СБ 09:00-18:00, ВС 11:00-17:30|87.0|56.83448999972757|60.6828899684748|г Екатеринбург, бульвар Сиреневый, строение 2
7003/0418|2021-06-07 13:58:28|ПН-ПТ 09:30-20:30, СБ 10:00-17:30, ВС выходной|100.0|56.82759999149832|60.59392000576199|г Екатеринбург,улица Хохрякова, дом 72
7003/0419|2020-09-03 16:13:45|ПН-ПТ 09:00-20:30, СБ 09:00-17:00, ВС 11:00-16:00|100.0|56.85362999180967|60.63826002210297|г Екатеринбург,улица Уральская, дом 75
7003/0423|2020-09-03 16:13:45|ПН-ПТ 09:30-18:30, СБ-ВС выходной|100.0|56.84729000406679|60.6211900248291|г Екатеринбург,улица Кузнечная, дом 81
7003/0424|2020-09-03 16:13:45|ПН-СР 09:30-18:30, ЧТ-ПТ 09:30-19:00, СБ 10:00-18:00, ВС 11:00-14:30|100.0|56.84991999382615|60.60314001543594|г Екатеринбург,улица Мельковская, дом 2Б
7003/0427|2020-09-03 16:13:45|ПН выходной, ВТ-ПТ 09:30-19:00, СБ 09:30-16:00, ВС выходной|100.0|56.74502998904561|60.61506000376076|г Екатеринбург,улица Бисертская, дом 26
7003/0430|2021-08-31 16:47:46|ПН-ПТ 09:30-19:30, СБ 10:00-14:30, ВС выходной|100.0|56.75331001018793|60.70624999734864|г Екатеринбург,улица Черняховского, дом 43
7003/0434|2021-08-31 16:46:19|ПН-ПТ 10:00-19:00, СБ-ВС выходной|100.0|56.79549001008061|60.62431999511287|г Екатеринбург,улица Академика Шварца, дом 14
7003/0438|2021-08-31 16:47:45|ПН-ПТ 09:00-19:30, СБ 10:00-17:30, ВС 11:00-15:00|85.79|56.80931000821727|60.62254998861931|г Екатеринбург,улица Щорса, строение 29
7003/0441|2021-08-31 16:47:45|ПН-ПТ 09:00-19:00, СБ 10:00-17:00, ВС 11:00-15:00|91.0|56.83624001538206|60.55696000370986|г Екатеринбург,улица Татищева, дом 62 строение а
7003/0444|2021-08-31 16:47:45|ПН-ПТ 09:00-19:30, СБ 10:30-18:00, ВС 11:00-15:00|100.0|56.82057000548605|60.56703999664961|г Екатеринбург,улица Белореченская, дом 16
7003/0445|2021-06-21 15:42:33|ПН-ПТ 09:00-19:30, СБ 09:30-16:30, ВС выходной|87.4|56.84891001640304|60.56414002578899|г Екатеринбург,улица Опалихинская, строение 15
7003/0448|2020-09-28 03:14:26|ПН-ПТ 09:30-18:30, СБ-ВС выходной|100.0|56.67668998552332|60.51100999140692|г Екатеринбург,улица Ясная, дом 4
7003/0453|2021-08-31 16:46:19|ПН-ПТ 09:30-18:30, СБ 10:30-18:00, ВС 11:00-15:00|100.0|56.79885999616184|60.63255001820278|г Екатеринбург,улица Белинского, дом 171
7003/0454|2021-08-31 16:47:45|ПН-ВС 10:00-22:00|100.0|56.82431998514772|60.50536000193347|г Екатеринбург,улица Металлургов, дом 87
7003/0456|2021-05-12 12:41:29|ПН-ПТ 10:00-19:00, СБ-ВС выходной|100.0|56.83877000903652|60.61096997028727|г Екатеринбург, проспект Ленина, дом 38А
7003/0457|2020-09-03 16:13:45|ПН-ПТ 09:00-18:30, СБ 09:30-14:30, ВС выходной|100.0|56.78339999484987|60.654849987782|г Екатеринбург,улица Щербакова, дом 20
7003/0458|2020-09-03 16:13:45|ПН-ПТ 10:00-19:00, СБ 10:00-15:00, ВС выходной|100.0|56.86184999852529|60.55151000644616|г Екатеринбург,улица Бебеля, дом 138
7003/0461|2021-08-31 16:46:19|ПН-ПТ 09:00-18:00, СБ-ВС выходной|100.0|56.63944001153087|60.57835003388038|г Екатеринбург,улица Луначарского, дом 40
7003/0462|2021-08-31 16:47:40|ПН выходной, ВТ-ПТ 09:00-17:30, СБ 09:00-15:00, ВС выходной|100.0|56.78393999896196|60.73854999651132|г Екатеринбург,улица Варшавская, дом 32
7003/0465|2021-08-31 16:47:45|ПН-ПТ 10:00-19:30, СБ 09:30-15:00, ВС выходной|100.0|56.78804998136499|60.51822002069943|г Екатеринбург,улица Павла Шаманова, дом 26
7003/0467|2021-06-21 15:41:13|ПН-ПТ 08:30-18:30, СБ 09:00-15:00, ВС выходной|99.18|56.68820998942863|60.83860997149657|Свердловская область, Сысертский район ,город Арамиль,улица 1 Мая, дом 75А
7003/0469|2020-09-25 10:59:46|ПН-ПТ 09:00-19:00, СБ 09:00-15:30, ВС выходной|96.61|56.98013998427436|60.5474099985079|Свердловская область,город Верхняя Пышма, проспект Успенский, дом 125
7003/0470|2021-08-17 12:37:25|ПН-ПТ 09:00-18:30, СБ 09:30-15:00, ВС выходной|96.15|56.98458000411492|60.4660099840099|Свердловская область,город Среднеуральск,улица Кирова, дом 7
7003/0474|2021-08-31 16:47:45|ПН-ПТ 09:00-18:00, СБ 09:00-14:30, ВС выходной|96.67|56.9682399867886|60.58173003633587|Свердловская область,город Верхняя Пышма,улица Красноармейская, дом 3
7003/0481|2021-05-12 12:42:34|ПН-ПТ 08:30-17:30, СБ 09:00-13:30, ВС выходной|95.74|56.50177001790226|60.81079999022688|Свердловская область,город Сысерть,улица Ленина, дом 30
7003/0491|2021-02-24 17:08:45|ПН-ПТ 09:00-18:00, СБ-ВС выходной|96.23|56.5042500135043|60.25086999882518|Свердловская область,город Полевской,улица Декабристов, дом 8
7003/0493|2021-09-21 12:27:13|ПН-ПТ 08:30-17:30, СБ 10:00-14:00, ВС выходной|95.92|56.44658997955108|60.15932000249592|Свердловская область,город Полевской,улица Бажова, дом 11
7003/0496|2021-06-21 15:42:32|ПН-ПТ 09:00-18:30, СБ 09:00-16:00, ВС выходной|96.23|56.49800997995678|60.25432996463698|Свердловская область,город Полевской,улица Декабристов, дом 4
7003/0501|2019-09-18 11:40:24|ПН-ПТ 09:00-19:00, СБ 09:30-17:30, ВС 12:00-15:00|100.0|56.82298001219658|60.62632000102957|г Екатеринбург,улица Тверитина, дом 34
7003/0503|2021-05-12 12:42:34|ПН-ВС 09:00-21:00|100.0|56.83417002057385|60.5985800086514|г Екатеринбург,улица Малышева, дом 31В
7003/0504|2021-05-12 12:42:34|ПН-ПТ 10:00-19:00, СБ 10:00-14:00, ВС выходной|87.4|56.84504000788789|60.58962000561394|г Екатеринбург,улица Бориса Ельцина, строение 3
7003/0506|2021-02-15 13:09:00|ПН-ПТ 09:00-18:00, СБ-ВС выходной|96.15|57.84997001655864|61.69671996575627|Свердловская область,город Алапаевск,улица Сафонова, дом 54А
7003/0507|2021-02-15 13:09:00|ПН-ПТ 09:00-18:00, СБ 09:00-15:00, ВС выходной|96.55|57.85258001547894|61.68505000960317|Свердловская область,город Алапаевск,улица 3 Интернационала, дом 36
7003/0509|2021-02-15 13:09:00|ПН-ПТ 09:00-18:00, СБ 09:00-15:00, ВС выходной|94.98|57.33818533040889|61.89416234784343|Свердловская область,город Артемовский,улица Ленина, дом 11
7003/0511|2021-12-13 14:19:29|ПН выходной, ВТ-ПТ 09:00-17:30, СБ 09:00-15:30, ВС выходной|99.85|57.28361001577397|61.99347999039733|Свердловская область, Артемовский район , п Буланаш,улица Физкультурников, дом 1А
7003/0518|2022-01-17 03:31:36|ПН-ПТ 09:00-18:00, СБ 09:00-15:00, ВС выходной|95.65|57.3725000151305|61.3701099722507|Свердловская область,город Реж,улица М.Горького, дом 19
7003/0522|2021-09-21 12:27:12|ПН выходной, ВТ-ПТ 08:00-18:00, СБ 08:15-13:45, ВС выходной|95.56|57.37340999644874|61.39553999593275|Свердловская область,город Реж,улица Советская, дом 2
7003/0531|2021-08-17 12:37:25|ПН выходной, ВТ-ПТ 08:30-17:45, СБ 08:45-16:00, ВС выходной|100.0|57.99491001199695|61.68711002994661|Свердловская область, Алапаевский район , пгт Верхняя Синячиха,улица Октябрьская, дом 9
7003/0537|2021-05-12 12:42:34|ПН-ПТ 09:00-19:00, СБ 09:00-14:00, ВС выходной|98.57|59.59916998613588|60.57048998799664|г Серов,улица Заславского, дом 15/6
7003/0548|2021-02-15 13:08:56|ПН-ПТ 09:00-18:00, СБ-ВС выходной|96.0|59.60906000324016|60.57418003705058|Свердловская область,город Серов,улица Заславского, дом 35
7003/0549|2021-02-15 13:08:57|ПН-ПТ 08:30-17:30, СБ-ВС выходной|90.97|59.04324000656754|60.57570998583719|Свердловская область,город Новая Ляля,улица Челюскинцев, дом 3 корпус 125
7003/0556|2021-02-15 13:08:59|ПН-ПТ 08:30-17:30, СБ-ВС выходной|96.0|58.86058999638101|60.81463001706388|Свердловская область,город Верхотурье,улица Ленина, дом 10
7003/0558|2021-02-15 13:08:56|ПН-ПТ 08:30-17:30, СБ-ВС выходной|95.74|59.59775000791893|60.58564002652915|Свердловская область,город Серов,улица Народная, дом 8А
7003/0560|2021-05-12 12:41:29|ПН-ПТ 09:00-18:00, СБ-ВС выходной|93.4|58.28262998642523|59.75695998396583|Свердловская область,город Кушва, пер Свердлова, дом 3
7003/0565|2021-05-12 12:42:34|ПН-ПТ 09:00-18:00, СБ 09:00-13:30, ВС выходной|91.07|58.35567999088934|60.039579989407|Свердловская область,город Красноуральск,улица 7 Ноября, дом 53
7003/0570|2021-02-15 13:08:58|ПН-ПТ 09:00-18:30, СБ 09:00-16:30, ВС 09:00-15:00|96.67|56.42380000391222|61.90764997243306|Свердловская область,город Каменск-Уральский, проспект Победы, дом 41А
