Номер ВСП/ПВЗ|Дата открытия ВСП/ПВЗ|Адрес ВСП/ПВЗ|Режим работы ВСП/ПВЗ|Точность|Широта|Долгота
9040/01210|2020-11-17 10:21:45|Московская область,город Дзержинский,улица Лесная, дом 5|ПН-ПТ 09:00-20:00, СБ 10:00-16:00, ВС выходной|95.83|55.63109001872647|37.85561997343581
9040/01211|2021-08-31 16:47:42|Московская область,город Люберцы,улица Урицкого, дом 17|ПН-ПТ 09:00-19:00, СБ-ВС выходной|95.74|55.70109001626312|37.89253999380978
9040/01215|2021-02-01 14:11:48|Московская область,город Лыткарино,улица Спортивная, дом 1|ПН-ПТ 09:00-19:30, СБ 09:00-16:30, ВС выходной|96.0|55.58120998348167|37.91032999656645
9040/01216|2020-11-17 10:21:45|Московская область,город Лыткарино, мкр 5 квартал 1, дом 10|ПН-ПТ 09:00-18:00, СБ-ВС выходной|92.5|55.58630999437827|37.89791002771719
9040/01301|2021-05-12 12:42:12|Московская область,город Мытищи,улица Веры Волошиной, строение 12|ПН-ПТ 09:00-19:00, СБ 10:00-16:00, ВС выходной|86.18|55.89315001195908|37.72562998241077
9040/01304|2022-11-14 14:41:10|Московская область,город Мытищи,улица 2-я Институтская, дом 18|ПН выходной, ВТ-ПТ 09:00-18:00, СБ 08:30-15:00, ВС выходной|96.15|55.93001999237109|37.79124997453357
9040/01307|2021-06-21 15:42:23|Московская область,город Мытищи,улица Академика Каргина, дом 21|ПН-ПТ 09:00-18:00, СБ-ВС выходной|96.3|55.9165900041892|37.77403002501188
9040/01310|2020-11-17 10:21:45|Московская область,город Мытищи,улица Силикатная, дом 39|ПН-ПТ 09:30-18:30, СБ-ВС выходной|95.83|55.94025999584247|37.77880997293573
9040/01316|2021-05-12 12:42:12|Московская область,город Мытищи,улица Лётная, дом 40 корпус 1|ПН-ПТ 09:00-18:30, СБ-ВС выходной|90.59|55.90408001369985|37.71204995816203
9040/01318|2021-06-07 13:59:15|Московская область,город Долгопрудный,улица Первомайская, дом 40|ПН-ПТ 09:00-18:30, СБ 09:00-16:00, ВС выходной|96.43|55.93387998451195|37.52060997184395
9040/01322|2020-11-17 10:21:45|Московская область,город Долгопрудный, проспект Пацаева, дом 14|ПН-ПТ 09:00-19:00, СБ 09:30-16:30, ВС выходной|96.3|55.94884997976425|37.49592996085804
9040/01326|2021-05-12 12:42:12|Московская область,город Лобня,улица Ленина, дом 19 корпус 2|ПН-ПТ 09:00-19:00, СБ 09:00-17:00, ВС выходной|90.4|56.01176494740007|37.47729845345885
9040/01327|2021-05-12 12:42:12|Московская область,город Лобня,улица Катюшки, дом 53Б|ПН-ПТ 09:00-19:00, СБ 09:00-16:00, ВС выходной|95.56|56.00659999344805|37.44342001967291
9040/01329|2021-05-12 12:42:12|Московская область,город Лобня,улица Чехова, дом 15|ПН-ПТ 09:00-18:00, СБ-ВС выходной|95.35|56.01716001798266|37.47782999532197
9040/01335|2021-06-07 13:59:15|Московская область,город Мытищи,улица Юбилейная, дом 3 корпус 1|ПН-ПТ 10:00-19:00, СБ-ВС выходной|90.94|55.91585000786736|37.72378001256089
9040/01400|2021-08-31 16:47:42|Московская область,город Наро-Фоминск,площадь Свободы, дом 10|ПН-ПТ 08:30-18:00, СБ 09:00-16:30, ВС выходной|96.15|55.3860100011276|36.72842004184071
9040/01402|2021-08-17 12:37:18|Московская область,город Наро-Фоминск,город Апрелевка,улица Парковая, дом 3|ПН-ЧТ 09:00-19:00, ПТ 09:00-18:00, СБ 09:00-16:00, ВС выходной|98.44|55.55366000884848|37.07259003867981
9040/01405|2021-06-21 15:42:23|Московская область,город Наро-Фоминск,рабочий поселок Селятино,улица Больничная, дом 117Б|ПН-ПТ 09:00-18:30, СБ 10:00-17:00, ВС выходной|96.32|55.51425253254796|36.97872790800379
9040/01410|2021-06-21 15:42:23|Московская область,город Наро-Фоминск,город Апрелевка,улица Февральская, дом 55|ПН-ПТ 09:00-18:00, СБ 09:00-16:00, ВС выходной|98.53|55.55279000920839|37.08377996323807
9040/01510|2021-08-31 16:47:42|Московская область,город Ногинск,улица 3-го Интернационала, дом 171|ПН-ПТ 09:00-18:00, СБ-ВС выходной|96.49|55.84257000398011|38.40599995963555
9040/01512|2021-05-12 12:42:12|Московская область,город Черноголовка,улица Лесная, дом 9|ПН-ПТ 09:00-19:00, СБ 09:00-15:30, ВС выходной|95.92|56.01362997946032|38.37686002178901
9040/01520|2021-03-03 11:41:53|Московская область,город Ногинск,улица Декабристов, дом 79Б|ПН-ПТ 09:00-18:00, СБ-ВС выходной|96.08|55.87813999311911|38.42981001289087
9040/01524|2020-11-17 10:21:45|Московская область,город Электросталь,улица Мира, дом 18|ПН-ПТ 09:00-19:00, СБ 09:00-18:00, ВС выходной|95.83|55.77734999627683|38.44399998823366
9040/01530|2021-06-21 15:42:23|Московская область,город Электросталь,улица Карла Маркса, дом 20|ПН-ПТ 09:00-18:00, СБ-ВС выходной|96.36|55.79405001634456|38.46716002489774
9040/01532|2020-11-17 10:21:45|Московская область,город Электросталь,улица Победы, дом 17 корпус 1|ПН-ПТ 08:30-18:30, СБ 09:00-15:30, ВС выходной|91.58|55.77082564152487|38.4446707694055
9040/01606|2022-11-14 14:41:10|Московская область,город Одинцово, дп Лесной Городок,улица Фасадная, дом 3|ПН выходной, ВТ-ПТ 09:30-18:45, СБ 10:00-14:30, ВС выходной|98.87|55.63454998453824|37.21461996306414
9040/01618|2021-08-31 16:47:42|Московская область,город Одинцово,улица Маковского, дом 16|ПН-ПТ 10:00-19:00, СБ-ВС выходной|96.0|55.66462999473541|37.28294001765687
9040/01636|2019-09-24 16:11:06|Московская область,город Одинцово,улица Молодежная, дом 21|ПН-ПТ 08:30-19:30, СБ 09:00-17:00, ВС 09:30-15:30|96.0|55.67844999287206|37.27126997768471
9040/01700|2021-03-03 11:41:52|Московская область,город Орехово-Зуево,улица Карла Либкнехта, дом 4|ПН-ПТ 09:00-20:00, СБ 09:00-15:30, ВС выходной|96.49|55.80193998562262|38.97700001438008
9040/01702|2021-12-13 14:19:27|Московская область,город Орехово-Зуево,улица Володарского, дом 106|ПН-ПТ 09:00-18:30, СБ 09:00-17:30, ВС выходной|96.49|55.80866000885547|38.97704997052301
