ID точки|Адрес|Тип Пункта|Название пункта приема/выдачи|Время работы|Широта|Долгота
5401-004|город Новосибирск,Новосибирская обл., Карла Маркса пр-кт, д. 37/2|Постамат|Постамат: PickPoint: 5401-004: ТЦ МетроМаркет|Ежедневно: 10-21|54.988381|82.904592
2401-003|город Красноярск,Красноярский край, Партизана Железняка ул., д. 23|Постамат|Постамат: PickPoint: 2401-003: ТЦ Июнь|Ежедневно: 10-22|56.037155|92.934873
2401-004|город Красноярск,Красноярский край, им. Газеты Красноярский Рабочий пр-кт, д. 120|Постамат|Постамат: PickPoint: 2401-004: ТЦ Красноярье|Ежедневно: 8-23:59|56.004281|92.931201
7801-012|город Санкт-Петербург,Ленинградская обл., пр-кт Ветеранов, д 101 к 1 литера А|Постамат|Постамат: PickPoint: 7801-012: ТК Ульянка|Ежедневно: 8-23:59|59.834035|30.204845
6601-001|город Екатеринбург,Свердловская обл., ул Сулимова, стр 50|Постамат|Постамат: PickPoint: 6601-001: ТЦ Парк Хаус|Ежедневно: 10-22|56.863305|60.631554
6601-002|город Екатеринбург,Свердловская обл., Вайнера ул., д. 19|Постамат|Постамат: PickPoint: 6601-002: ТЦ Бум|Пн-Сб: 10-20; Вс: 10-19|56.83146|60.597113
7801-013|город Санкт-Петербург,Ленинградская обл., пр-кт Испытателей, д 5 к 1 литера А|Постамат|Постамат: PickPoint: 7801-013: ТЦ Сити Молл|Ежедневно: 10-22|60.003867|30.301522
5001-002|город Балашиха,Московская обл., Энтузиастов шоссе, д. 54А|Постамат|Постамат: PickPoint: 5001-002: ТРЦ Галион|Ежедневно: 10-21|55.795917|37.962871
7701-031|город Москва,Московская обл., Кожевническая ул., д. 7, стр. 1|Постамат|Постамат: PickPoint: 7701-031: ТЦ Кожевники|Пн-Сб: 10-20; Вс: 10-19|55.729828|37.645958
0201-003|город Уфа,Башкортостан респ., Свердлова ул., д. 90|Постамат|Постамат: PickPoint: 0201-003: ТЦ Свердловский|Пн-Пт: 9-21; Сб-Вс: 9-20|54.725123|55.938037
5002-962|город Зеленоград,Московская обл., к. 1815|ПВЗ|ПВЗ: Ozon: 5002-962|Ежедневно: 9-21|55.982158|37.163138
5002-963|город Зеленоград,Московская обл., Андреевка ул., вл. 13, стр. 2|ПВЗ|ПВЗ: Ozon: 5002-963|Пн-Пт: 10-19 (обед: 14-15); Сб-Вс: Выходной|55.981903|37.14681
3802-078|город Иркутск,Иркутская обл., Лермонтова ул., д. 343/7|ПВЗ|ПВЗ: Мегафон: 3802-078|Ежедневно: 10-19|52.235278|104.287245
6502-019|город Южно-Сахалинск,Сахалинская обл., имени И.П. Фархутдинова ул., д. 3|ПВЗ|ПВЗ: Мегафон: 6502-019: ТРЦ Аллея|Ежедневно: 10-21|46.908244|142.742736
7702-027|город Москва,Московская обл., Ярцевская ул., д. 25А|ПВЗ|ПВЗ: PickPoint: 7702-027: ТЦ Трамплин|Ежедневно: 9-22|55.741047|37.415331
1601-003|город Казань,Татарстан респ., ул Юлиуса Фучика, д 90а|Постамат|Постамат: PickPoint: 1601-003: ТЦ Франт|Ежедневно: 10-22|55.763404|49.23337
4402-036|город Кострома,Костромская обл., Китицынская ул., д. 9|ПВЗ|ПВЗ: Ozon: 4402-036|Ежедневно: 9-20|57.731643|40.915144
5001-697|город Тучково,Московская обл., Кирова ул., д. 1|Постамат|Постамат: PickPoint: 5001-697: ТЦ Эдельвейс|Ежедневно: 8:30-22|55.600277|36.472409
7801-295|город Санкт-Петербург,Ленинградская обл., пр-кт Науки, д 10 к 1 литера А|Постамат|Постамат: PickPoint: 7801-295: Фотокопицентр|Пн-Пт: 10-20; Сб-Вс: 10-19|60.015237|30.3905
2102-011|город Чебоксары,Чувашия респ., Ленина пр-кт, д. 39, оф. 5|ПВЗ|ПВЗ: PickPoint: 2102-011|Пн-Пт: 8-20; Сб: 10-17; Вс: Выходной|56.119995|47.256467
0201-002|город Уфа,Башкортостан респ., Менделеева ул., д. 137|Постамат|Постамат: PickPoint: 0201-002: ТЦ Иремель|Ежедневно: 10-21|54.713394|55.993571
2301-001|город Краснодар,Краснодарский край, Красная ул., д. 43|Постамат|Постамат: PickPoint: 2301-001: Краснодарский дом книги|Пн-Пт: 9-20; Сб-Вс: 10-19|45.026217|38.970485
2301-002|город Краснодар,Краснодарский край, Уральская ул., д. 99|Постамат|Постамат: PickPoint: 2301-002: ТРК Вега|Ежедневно: 10-21|45.038138|39.085844
6101-001|город Ростов-на-Дону,Ростовская обл., Зорге ул., д. 33|Постамат|Постамат: PickPoint: 6101-001: ТРЦ Талер|Ежедневно: 10-22|47.229201|39.628505
6901-001|город Тверь,Тверская обл., Цанова б-р, д. 8|Постамат|Постамат: PickPoint: 6901-001: ТЦ Вавилон|Ежедневно: 10-22|56.830005|35.917565
5501-001|город Омск,Омская обл., Дианова ул., д. 14|Постамат|Постамат: PickPoint: 5501-001: АТ Маркет|Ежедневно: 10-21|54.995611|73.250449
